Gene Group 1	Enrichment Score: 26.032347130331825
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000039481	neurturin(Nrtn)
ENSMUSG00000027848	olfactomedin-like 3(Olfml3)
ENSMUSG00000039899	fibrinogen-like protein 2(Fgl2)
ENSMUSG00000070427	interleukin 18 binding protein(Il18bp)
ENSMUSG00000068129	cystatin F (leukocystatin)(Cst7)
ENSMUSG00000007030	von Willebrand factor A domain containing 7(Vwa7)
ENSMUSG00000000686	abhydrolase domain containing 15(Abhd15)
ENSMUSG00000039405	protease, serine 23(Prss23)
ENSMUSG00000031610	scrapie responsive gene 1(Scrg1)
ENSMUSG00000021423	lymphocyte antigen 86(Ly86)
ENSMUSG00000074971	fin bud initiation factor homolog (zebrafish)(Fibin)
ENSMUSG00000026676	coiled-coil domain containing 3(Ccdc3)
ENSMUSG00000027832	pentraxin related gene(Ptx3)
ENSMUSG00000033207	MAM domain containing 2(Mamdc2)
ENSMUSG00000056423	urotensin 2B(Uts2b)
ENSMUSG00000030666	calcitonin-related polypeptide, beta(Calcb)
ENSMUSG00000002847	phospholipase A1 member A(Pla1a)
ENSMUSG00000028989	angiopoietin-like 7(Angptl7)
ENSMUSG00000047420	family with sequence similarity 180, member A(Fam180a)

Gene Group 2	Enrichment Score: 18.780387262671677
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030111	alpha-2-macroglobulin(A2m)
ENSMUSG00000023224	serine (or cysteine) peptidase inhibitor, clade G, member 1(Serping1)
ENSMUSG00000021423	lymphocyte antigen 86(Ly86)
ENSMUSG00000055172	complement component 1, r subcomponent A(C1ra)
ENSMUSG00000073418	complement component 4B (Chido blood group)(C4b)
ENSMUSG00000038521	complement component 1, s subcomponent 1(C1s1)
ENSMUSG00000036896	complement component 1, q subcomponent, C chain(C1qc)
ENSMUSG00000036905	complement component 1, q subcomponent, beta polypeptide(C1qb)
ENSMUSG00000036887	complement component 1, q subcomponent, alpha polypeptide(C1qa)

Gene Group 3	Enrichment Score: 18.26766938263447
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000039899	fibrinogen-like protein 2(Fgl2)
ENSMUSG00000048368	osteomodulin(Omd)
ENSMUSG00000038156	spondin 1, (f-spondin) extracellular matrix protein(Spon1)
ENSMUSG00000033880	lectin, galactoside-binding, soluble, 3 binding protein(Lgals3bp)
ENSMUSG00000070427	interleukin 18 binding protein(Il18bp)
ENSMUSG00000027386	fibulin 7(Fbln7)
ENSMUSG00000002289	angiopoietin-like 4(Angptl4)
ENSMUSG00000035493	transforming growth factor, beta induced(Tgfbi)
ENSMUSG00000021186	fibulin 5(Fbln5)
ENSMUSG00000028989	angiopoietin-like 7(Angptl7)
ENSMUSG00000042436	microfibrillar-associated protein 4(Mfap4)

Gene Group 4	Enrichment Score: 13.367578649223708
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000037318	TRAF3 interacting protein 3(Traf3ip3)
ENSMUSG00000034158	leucine rich repeat containing 58(Lrrc58)
ENSMUSG00000029490	major facilitator superfamily domain containing 7A(Mfsd7a)
ENSMUSG00000027074	solute carrier family 43, member 3(Slc43a3)
ENSMUSG00000030745	interleukin 21 receptor(Il21r)
ENSMUSG00000043587	2-phosphoxylose phosphatase 1(Pxylp1)
ENSMUSG00000025044	macrophage scavenger receptor 1(Msr1)
ENSMUSG00000047293	G protein-coupled receptor 15(Gpr15)
ENSMUSG00000021360	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme(Gcnt2)
ENSMUSG00000033355	receptor transporter protein 4(Rtp4)
ENSMUSG00000038843	glucosaminyl (N-acetyl) transferase 1, core 2(Gcnt1)
ENSMUSG00000033777	toll-like receptor 13(Tlr13)
ENSMUSG00000070337	G protein-coupled receptor 179(Gpr179)
ENSMUSG00000020890	guanylate cyclase 2e(Gucy2e)
ENSMUSG00000030340	sodium channel, nonvoltage-gated 1 alpha(Scnn1a)
ENSMUSG00000036832	lysophosphatidic acid receptor 3(Lpar3)
ENSMUSG00000035551	insulin-like growth factor binding protein-like 1(Igfbpl1)
ENSMUSG00000027611	protein C receptor, endothelial(Procr)
ENSMUSG00000090698	apolipoprotein L domain containing 1(Apold1)
ENSMUSG00000023153	transmembrane protein 52(Tmem52)
ENSMUSG00000028859	colony stimulating factor 3 receptor (granulocyte)(Csf3r)
ENSMUSG00000030579	TYRO protein tyrosine kinase binding protein(Tyrobp)
ENSMUSG00000031239	integral membrane protein 2A(Itm2a)
