"","SRR2157283.counts","SRR2157284.counts","SRR2157286.counts","SRR2157287.counts","avg","Symbol","Name"
"ENSMUSG00000000028",35.7720906408226,21.771327043531,7.22059651086068,25.3351824181708,90.0991966133851,"Cdc45","cell division cycle 45"
"ENSMUSG00000000056",68.8722992395824,64.5222965108282,71.1028184194475,75.2385891591087,279.736003328967,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",1.27108951515613,1.49854588741187,0.835717188757023,0.894784444637718,4.50013703596275,"Cav2","caveolin 2"
"ENSMUSG00000000078",120.10498888108,119.685749838009,109.178093539217,117.114501168154,466.08333342646,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",26.4075331924274,28.0199806495314,27.1440942908281,29.8858004508998,111.457408583687,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",30.3764453519966,24.202929804237,18.1517773398025,26.4600542914297,99.1912067874658,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000120",10.4800033494506,9.9526066484713,15.109766772727,10.1749773990232,45.717354169672,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000127",3.57980312431728,2.3467794085884,1.06971800160899,3.01670184192145,10.0130023764361,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",193.724418350735,204.198082997897,231.059088347542,199.562496424058,828.544086120232,"Xpo6","exportin 6"
"ENSMUSG00000000134",54.6049679470135,48.0948406507093,45.8307306314352,46.5287911211613,195.059330350319,"Tfe3","transcription factor E3"
"ENSMUSG00000000148",37.4582297935808,39.1601142276499,43.2567216900635,38.4501658495751,158.325231560869,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",59.2483357676859,39.1601142276499,26.4420918522722,36.7628580396868,161.613399887295,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000157",173.724213938788,104.70029096389,23.2663665349955,114.506843643781,416.197715081455,"Itgb2l","integrin beta 2-like"
"ENSMUSG00000000168",29.9354551120445,27.9634317481197,26.8432361028756,30.8317154352311,115.573838398271,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",62.8281388920032,53.3821629327097,40.2481398105382,57.5729876949754,214.031429330227,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",56.3170477021218,47.6707238901211,31.9578252980686,51.7441061699069,187.689703060218,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",66.8489322562726,65.3705300320047,66.7236603503607,62.4815195055595,261.424642144198,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000204",101.246170972539,76.0017234974172,29.1163868562947,75.6476334766573,282.011914802908,"Slfn4","schlafen 4"
"ENSMUSG00000000244",128.795090668372,136.933164768598,155.109110233303,127.391739646564,548.229105316837,"Tspan32","tetraspanin 32"
"ENSMUSG00000000248",5.29188287942554,7.94512064835351,9.69431938958147,4.72957492165651,27.660897839017,"Clec2g","C-type lectin domain family 2, member g"
"ENSMUSG00000000253",3.5019813172669,1.86611374658837,0.36771556305309,1.55948146065431,7.29529208756267,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000275",196.707587620999,233.207669422134,264.588061960474,243.918239608242,938.421558611849,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",23.0871360916114,32.3176971568259,35.1335506153452,29.9624962604402,120.500880124223,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",71.1031910416931,73.0046317225935,73.0416822973638,80.2238167792331,297.373321840884,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",63.0356637108042,70.686126764711,76.7188379278947,59.2602955048637,269.700923908274,"Mnt","max binding protein"
"ENSMUSG00000000290",467.216188928105,343.421478273672,165.873147624494,306.09297587564,1282.60379070191,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",8.11940853558918,7.29480828211817,8.85860220082444,8.30871270020738,32.5815317187392,"Hddc2","HD domain containing 2"
"ENSMUSG00000000303",8.45663636614081,10.5463701132949,4.11172856868455,13.4728972092594,36.5876322573796,"Cdh1","cadherin 1"
"ENSMUSG00000000317",0.466930842302253,0.933056873294185,0.73543112610618,0.766958095403758,2.90237693710638,"Bcl6b","B cell CLL/lymphoma 6, member B"
"ENSMUSG00000000318",23.9172353668154,19.7355665927073,1.50429093976264,6.87705758878703,52.0341504880724,"Clec10a","C-type lectin domain family 10, member A"
"ENSMUSG00000000325",8.19723034263956,8.42578631035355,6.45173669720422,10.7374133356526,33.8121666858499,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",29.7798114979437,22.5912861140016,14.5080503968219,22.5996985445641,89.4788465533313,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",12.1142612975085,10.7160168175302,9.89489151488315,11.9645462882986,44.6897159182204,"Rtca","RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340",13.5669350291155,14.5330676628246,15.711483148632,17.3332529561249,61.144738796697,"Dbt","dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346",397.202503185117,398.104265938852,376.239878378412,427.681399266982,1599.22804676936,"Dazap2","DAZ associated protein 2"
