"","mouse_SRR391076.counts","Symbol","Name"
"ENSMUSG00000000028",3.50106119007335,"Cdc45","cell division cycle 45"
"ENSMUSG00000000056",29.2983541695612,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000078",658.752302869064,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",24.3231619520885,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",13.6357120034436,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000125",0.921331892124566,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000131",262.948122012351,"Xpo6","exportin 6"
"ENSMUSG00000000134",56.3855117980234,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",31.3252843322352,"Axin2","axin 2"
"ENSMUSG00000000148",30.9567515753854,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",27.8242231421619,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000168",27.0871576284622,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",20.0850352483155,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",103.189171917951,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",49.7519221747265,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000244",141.700845008758,"Tspan32","tetraspanin 32"
"ENSMUSG00000000266",1.28986464897439,"Mid2","midline 2"
"ENSMUSG00000000275",112.771023596047,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",47.7249920120525,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",8.29198702912109,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",71.1268220720165,"Mnt","max binding protein"
"ENSMUSG00000000290",151.651229443703,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",4.42239308219791,"Hddc2","HD domain containing 2"
"ENSMUSG00000000301",0.737065513699652,"Pemt","phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303",1.4741310273993,"Cdh1","cadherin 1"
"ENSMUSG00000000325",4.42239308219791,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",11.4245154623446,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",7.55492151542144,"Rtca","RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340",12.1615809760443,"Dbt","dihydrolipoamide branched chain transacylase E2"
