"","mouse_tg_2_204.counts","mouse_tg_2_205.counts","mouse_tg_2_226.counts","mouse_tg_2_227.counts","avg","Symbol","Name"
"ENSMUSG00000000028",2.7141342028213,2.39694319677917,2.61640965096507,3.12476675603408,10.8522538065996,"Cdc45","cell division cycle 45"
"ENSMUSG00000000031",1.29244485848634,0.676060901655664,3.41015190462863,1.39792196980472,6.77657963457535,"H19","H19, imprinted maternally expressed transcript"
"ENSMUSG00000000049",0.542826840564261,0.768251024608709,0.587957224935971,0.548204694041067,2.44723978415001,"Apoh","apolipoprotein H"
"ENSMUSG00000000056",45.6491524017374,42.0386960665886,54.5624304740581,44.7609132684531,187.011192210837,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",27.6324710744378,19.759416352936,22.6069552987881,11.5945292789686,81.5933720051305,"Cav2","caveolin 2"
"ENSMUSG00000000078",31.6390501357455,28.0872574596944,26.1640965096507,20.0917020366051,105.982106141696,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",22.798727303699,17.731233647969,19.8141584803422,25.4915182729096,85.8356377049198,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",152.405097712709,191.601805537412,156.043847498007,215.663726635756,715.714477383883,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",3.28280994055529,3.31884442630962,2.88099040218626,3.26181792954435,12.7444626985955,"Tbx2","T-box 2"
"ENSMUSG00000000120",2.94677427734884,4.05636540993398,3.64533479460302,2.96030534782176,13.6087798297076,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",12.6401107159964,9.89507319696017,10.5538321876007,9.4017105028043,42.4907266033615,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",2.97262317451857,2.45840327874787,2.73400109595227,2.79584393960944,10.9608714888281,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",12.7952040990147,11.7696056970054,12.2883060011618,11.5122985748624,48.3654143720444,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",74.5740683346615,64.656006231069,73.4358573945028,77.1324004515781,289.798332411811,"Xpo6","exportin 6"
"ENSMUSG00000000134",37.3516564102551,42.5303767223381,37.2470901996938,40.1011733691041,157.230296701391,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",14.5787780037259,11.4315752461776,12.6116824748766,10.3062482479721,48.9282839727521,"Axin2","axin 2"
