"","mouse_1.counts","mouse_2.counts","mouse_3.counts","mouse_4.counts","mouse_5.counts","mouse_6.counts","sum","Symbol","Name"
"ENSMUSG00000000056",10.2842851122223,6.43923374090443,9.77645997304617,9.36900306374143,7.0359261424761,5.44035638686619,48.3452644192567,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000078",656.433239457534,813.408865950097,653.816631574043,385.368002051579,308.564449826146,370.352261035916,3187.94344989532,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",17.3283160110047,25.5139450111308,24.5046334389339,28.6490176329283,19.30970841324,20.469340905584,135.774961412822,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000127",9.43900140436844,10.266325492574,13.3315363268811,5.26522486226791,11.6483666136549,9.04459249316504,58.9950471929115,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",23.1044213480063,30.37374406087,35.8681810699421,30.1976131806542,25.0948032414981,25.9777017472861,170.616464648257,"Xpo6","exportin 6"
"ENSMUSG00000000134",32.5434227523748,38.6961499335483,31.7417531592408,15.4085256998723,15.1663296848929,21.9654389119722,155.521620141901,"Tfe3","transcription factor E3"
"ENSMUSG00000000148",1.40880617975648,0.971959809947838,1.714054670599,1.23887643818069,1.40718522849522,2.7201781934331,9.46106052041233,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",2.95849297748862,3.28036435857396,4.31687842965675,3.17462087283801,4.06520177120841,3.87625392564216,21.6718123354079,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000168",6.62138904485547,5.58876890720007,3.68204336647194,3.40691020499688,4.6906174283174,5.44035638686619,29.430085338708,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",1.26792556178084,3.58410179918265,1.14270311373267,1.78088487988473,1.56353914277247,6.73244102874691,16.0715955261003,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",6.76226966283112,1.45793971492176,1.58708765796204,2.01317421204361,0.390884785693117,3.74024501597051,15.9516010494222,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",13.5949796346501,16.5233167691133,17.3309972249455,17.8862785762336,15.8699222991405,14.6209577897029,95.8264522937859,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",0.281761235951297,0.668222369339139,0.190450518955445,1.39373599295327,0.859946528524856,0.612040093522446,4.00615673924645,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000223",0.84528370785389,2.1261620842609,0.126967012636963,2.71004220852025,0.46906174283174,0.27201781934331,6.54953457544705,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000244",0.986164325829539,0.911212321826099,1.07921960741419,0.851727551249221,1.0163004428021,1.29208464188072,6.13670889100187,"Tspan32","tetraspanin 32"
"ENSMUSG00000000253",0.211320926963473,0.607474881217399,0.698318569503298,0.0774297773862928,0.70359261424761,1.15607573220907,3.45421250152714,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",0.774843398866066,0.911212321826099,2.15843921482838,3.01976131806542,0.0781769571386233,0.544035638686619,7.4864688494112,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000275",44.1660737353658,47.3222932468354,39.4232574237771,22.2997758872523,16.182630127695,32.4381249566897,201.832155377615,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",1.83144803368343,0.364484928730439,1.07921960741419,2.63261243113396,1.17265435707935,4.08026729014964,11.160686648191,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",12.2566137638814,8.20091089643489,10.7921960741419,8.28498618033333,7.11410309961472,17.341135983136,63.9899459975422,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",11.9748525279301,7.47194103897401,11.5539981499637,7.89783729340187,5.08150221401051,11.2887395027473,55.2688707270275,"Mnt","max binding protein"
"ENSMUSG00000000290",58.4654564598941,97.621213411636,130.712539509754,62.5632601281246,94.0468794377638,73.3088023130219,516.718151260194,"Itgb2","integrin beta 2"
"ENSMUSG00000000308",1.47924648874431,0.728969857460879,0.634835063184816,3.63919953715576,0.625415657108987,0.27201781934331,7.37968442299806,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000320",0.493082162914769,0.24298995248696,1.26967012636963,0.619438219090343,1.64171609991109,0.408026729014964,4.67492328978776,"Alox12","arachidonate 12-lipoxygenase"
"ENSMUSG00000000325",2.67673174153732,3.28036435857396,2.4123732401023,1.62602532511215,1.56353914277247,0.748049003194101,12.3070828112923,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",5.21258286509899,6.74297118151313,10.7287125678234,6.58153107783489,6.25415657108986,4.82831629334374,40.348270556704,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",1.7610077246956,3.037374406087,1.714054670599,0.929157328635514,1.40718522849522,0.884057912865756,9.73283727137809,"Rtca","RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340",6.83270997181895,8.44390084892185,7.11015270766994,6.4266715230623,9.14670398521893,4.9643252030154,42.9244642397074,"Dbt","dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346",48.462932583623,47.0185558062267,44.0575533850263,29.0361665198598,28.3782354413203,63.9241875456777,260.877631281734,"Dazap2","DAZ associated protein 2"
"ENSMUSG00000000355",4.86038132015987,5.28503146659137,10.7921960741419,8.36241595771962,3.20525524268356,6.52842766423943,39.0337077255357,"Mcts1","malignant T cell amplified sequence 1"
"ENSMUSG00000000365",0.633962780890418,0.971959809947838,0.126967012636963,0.54200844170405,0.859946528524856,0.884057912865756,4.01890248656988,"Rnf17","ring finger protein 17"
"ENSMUSG00000000374",13.8063005616135,20.5326509851481,11.8714156815561,12.3887643818069,10.163004428021,20.469340905584,89.2314769437296,"Trappc10","trafficking protein particle complex 10"
"ENSMUSG00000000378",5.91698595497723,6.01400132405225,7.04666920135146,18.505716795324,3.20525524268356,5.64436975137367,46.3329982697622,"Ccm2","cerebral cavernous malformation 2"
"ENSMUSG00000000384",12.3974943818571,5.16353649034789,6.72925166975905,2.78747198590654,0.312707828554493,2.44816037408979,29.8386227305148,"Tbrg4","transforming growth factor beta regulated gene 4"
"ENSMUSG00000000386",0.915724016841714,1.2149497624348,1.52360415164356,1.16144666079439,1.0163004428021,3.60423610629885,9.43626114081542,"Mx1","MX dynamin-like GTPase 1"
"ENSMUSG00000000399",4.86038132015987,7.28969857460879,3.17417531592408,2.71004220852025,5.15967917114914,5.03232965785123,28.2263062482134,"Ndufa9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000411",0.0704403089878242,0.607474881217399,0.634835063184816,0.309719109545171,0.859946528524856,0.816053458029929,3.29846934949,"Tssk3","testis-specific serine kinase 3"
"ENSMUSG00000000416",1.69056741570778,0.789717345582619,5.01519699916005,3.94891864670093,0.70359261424761,0.408026729014964,12.556019750414,"Cttnbp2","cortactin binding protein 2"
"ENSMUSG00000000420",19.6528462076029,25.9391774279829,24.9490179831633,14.1696492616916,18.9970005846855,20.6733542700915,124.381045735218,"Galnt1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000439",6.97359058979459,8.68689080140881,7.87195478349172,3.87148886931464,5.00332525687189,9.11259694800087,41.5198472488825,"Mkrn2","makorin, ring finger protein, 2"
"ENSMUSG00000000441",6.410068117892,11.2382853025219,12.12534970683,8.98185417680997,14.9317988134771,15.7090290670761,69.396385184607,"Raf1","v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000489",6.83270997181895,5.83175885968703,7.87195478349172,4.02634842408723,2.50166262843595,3.33221828695554,30.3966529544764,"Pdgfb","platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530",1.12704494380519,3.40185933481744,6.28486712552968,2.63261243113396,1.56353914277247,3.06020046761223,18.070123445671,"Acvrl1","activin A receptor, type II-like 1"
"ENSMUSG00000000531",1.12704494380519,0.971959809947838,0.444384544229372,1.78088487988473,1.17265435707935,1.42809355155238,6.92502208649886,"Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532",26.6968771063854,16.2195793285046,14.8551404785247,8.90442439942368,22.1240788702304,14.3489399703596,103.149040153428,"Acvr1b","activin A receptor, type 1B"
"ENSMUSG00000000538",4.0855379212938,6.01400132405225,11.1730971120528,7.97526707078816,4.45608655690153,7.34448112226936,41.0484711073579,"Tom1l2","target of myb1-like 2 (chicken)"
"ENSMUSG00000000552",3.31069452242774,2.85513194172178,4.25339492333827,1.39373599295327,2.03260088560421,3.4682271966272,17.3137854626725,"Zfp385a","zinc finger protein 385A"
"ENSMUSG00000000555",1.33836587076866,1.57943469116524,1.07921960741419,2.24546354420249,0.93812348566348,1.22408018704489,8.40468738625895,"Itga5","integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560",0.352201544939121,0.364484928730439,0.698318569503298,1.16144666079439,0.390884785693117,1.4960980063882,4.46343449604857,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561",1.97232865165908,2.61214198923482,1.77753817691749,1.16144666079439,1.40718522849522,4.35228510949295,13.2829258165939,"Wdr77","WD repeat domain 77"
"ENSMUSG00000000562",8.80503862347802,11.7242652074958,10.411295036231,5.3426546396542,4.45608655690153,9.72463704152332,50.4639771052839,"Adora3","adenosine A3 receptor"
"ENSMUSG00000000563",5.91698595497723,4.98129402598267,2.79327427801319,1.31630621556698,4.6906174283174,5.98439202555281,25.6828699284103,"Atp5f1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000568",190.963677665991,175.742483136194,177.118982628564,98.9552554996822,138.060506306809,108.195087643801,889.035992881041,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000581",2.39497050558602,1.70092966740872,1.96798869587293,1.23887643818069,2.03260088560421,7.34448112226936,16.6798473149219,"C1d","C1D nuclear receptor co-repressor"
"ENSMUSG00000000594",4.43773946623292,6.49998122902617,5.84048258130031,3.94891864670093,5.15967917114914,4.82831629334374,30.7151173877532,"Gm2a","GM2 ganglioside activator protein"
"ENSMUSG00000000600",13.2427780897109,16.584064257235,14.2203054153399,14.3245088164642,18.4497618847151,16.1170557960911,92.9384742595562,"Krit1","KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605",16.9056741570778,20.8363884257568,17.0135796933531,17.3442701345296,8.91217311380306,23.5295413731963,104.541626897717,"Clcn4","chloride channel, voltage-sensitive 4"
"ENSMUSG00000000628",57.2679712071011,70.9530661261922,80.7510200371087,48.7807597533645,51.4404377972141,95.8862813185166,405.079536239497,"Hk2","hexokinase 2"
"ENSMUSG00000000631",16.6943532301143,19.7429336395655,21.3939416293283,11.8467559401028,10.78842008513,14.6889622445387,95.1553667687797,"Myo18a","myosin XVIIIA"
"ENSMUSG00000000682",0.986164325829539,0.728969857460879,2.03147220219141,0.696867996476635,1.25083131421797,1.76811582573151,7.46242152190795,"Cd52","CD52 antigen"
"ENSMUSG00000000686",2.3245301965982,1.57943469116524,3.04720830328712,1.00658710602181,1.95442392846558,1.29208464188072,11.2042688674187,"Abhd15","abhydrolase domain containing 15"
"ENSMUSG00000000693",3.87421699433033,2.7336369654783,2.92024129065016,1.16144666079439,1.40718522849522,2.78818264826892,14.8849097880173,"Loxl3","lysyl oxidase-like 3"
"ENSMUSG00000000708",10.8478075841249,9.29436568262621,13.9028878837475,5.96209285874455,8.13040354241682,9.9286504060308,58.0662079576908,"Kat2b","K(lysine) acetyltransferase 2B"
"ENSMUSG00000000711",3.02893328647644,4.43456663288701,4.38036193597523,1.93574443465732,3.75249394265392,4.08026729014964,21.6123675227996,"Rab5b","RAB5B, member RAS oncogene family"
"ENSMUSG00000000724",0.352201544939121,0,0.126967012636963,0.774297773862928,2.57983958557457,0.952062367701583,4.78536828471516,"Cryba1","crystallin, beta A1"
"ENSMUSG00000000732",10.5660463481736,13.3644473867828,15.4899755417095,7.74297773862928,13.3682596707046,13.0568553284789,73.5885620144787,"Icosl","icos ligand"
"ENSMUSG00000000738",1.47924648874431,2.06541459613916,6.53880115080361,2.86490176329283,2.18895479988145,4.55629847400043,19.6936172728618,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit"
"ENSMUSG00000000740",1.83144803368343,1.33644473867828,1.90450518955445,1.23887643818069,0.859946528524856,4.08026729014964,11.2514882187713,"Rpl13","ribosomal protein L13"
"ENSMUSG00000000743",3.94465730331815,3.28036435857396,3.93597739174586,2.09060398942991,1.95442392846558,6.80044548358274,22.0064724551162,"Chmp1a","charged multivesicular body protein 1A"
"ENSMUSG00000000751",2.3245301965982,1.5186872030435,4.57081245493068,1.00658710602181,1.3290082713566,1.83612028056734,12.5857455125181,"Rpa1","replication protein A1"
"ENSMUSG00000000753",16.1308307582117,14.4579021729741,19.8068539713663,14.4019385938505,10.78842008513,17.6131538024793,93.1990993840119,"Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000759",11.4817703650153,11.4812752550088,13.2680528205627,11.2273177210125,12.2737822707639,14.7569666993745,74.4891651317377,"Tubgcp3","tubulin, gamma complex associated protein 3"
"ENSMUSG00000000766",4.0855379212938,6.62147620526965,3.55507635383497,6.34924174567601,7.34863397103059,4.89632074817957,32.8562869452846,"Oprm1","opioid receptor, mu 1"
"ENSMUSG00000000776",1.54968679773213,0.850464833704359,0.507868050547853,0.464578664317757,0.46906174283174,0.952062367701583,4.79372245683542,"Polr3d","polymerase (RNA) III (DNA directed) polypeptide D"
"ENSMUSG00000000787",404.186492972135,502.320979278667,447.177818507385,339.452144061508,334.050137853337,400.410230073352,2427.59780274638,"Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked"
"ENSMUSG00000000804",16.0603904492239,21.2008733544872,14.7281734658877,16.647402138053,13.9936753278136,13.0568553284789,95.6873700639443,"Usp32","ubiquitin specific peptidase 32"
"ENSMUSG00000000811",2.67673174153732,1.45793971492176,1.77753817691749,0.929157328635514,1.0163004428021,1.08807127737324,8.94573868218742,"Txnrd3","thioredoxin reductase 3"
"ENSMUSG00000000823",1.47924648874431,2.18690957238264,1.3966371390066,3.17462087283801,3.04890132840631,0.680044548358274,11.9663599497361,"Zfp512b","zinc finger protein 512B"
"ENSMUSG00000000826",10.0729641852589,23.3270354387481,15.9978435922574,12.2339048270343,11.3356587851004,10.8127083188966,83.7801151472956,"Dnajc5","DnaJ heat shock protein family (Hsp40) member C5"
"ENSMUSG00000000827",10.5660463481736,13.789679803635,14.2203054153399,12.156475049648,12.1956053136252,13.5328865123297,76.4609984427513,"Tpd52l2","tumor protein D52-like 2"
"ENSMUSG00000000838",15.0037858144065,19.1354587583481,13.0141187952887,12.4661941591931,9.92847355660516,15.2329978832253,84.781028967067,"Fmr1","fragile X mental retardation syndrome 1"
"ENSMUSG00000000876",1.12704494380519,0.911212321826099,1.46012064532508,0.387148886931464,0.70359261424761,1.15607573220907,5.7451951443445,"Pxmp4","peroxisomal membrane protein 4"
"ENSMUSG00000000881",2.53585112356167,4.67755658537397,3.30114232856105,2.24546354420249,2.03260088560421,8.84057912865756,23.6331935959609,"Dlg3","discs, large homolog 3 (Drosophila)"
"ENSMUSG00000000901",0.563522471902593,0.789717345582619,0.444384544229372,0.232289332158878,0.390884785693117,0.612040093522446,3.03283857308903,"Mmp11","matrix metallopeptidase 11"
"ENSMUSG00000000902",1.54968679773213,2.49064701299134,6.85621868239602,2.01317421204361,3.75249394265392,3.06020046761223,19.7224211154292,"Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"ENSMUSG00000000916",1.33836587076866,1.45793971492176,0.634835063184816,3.48433998238318,1.25083131421797,0.816053458029929,8.98236540350631,"Nsun5","NOL1/NOP2/Sun domain family, member 5"
"ENSMUSG00000000948",0.352201544939121,0.485979904973919,1.20618662005115,10.1433008376044,0.781769571386233,1.22408018704489,14.1935186659997,"Snurf","SNRPN upstream reading frame"
"ENSMUSG00000000957",1.33836587076866,2.7336369654783,2.28540622746534,0.619438219090343,0.547238699970363,3.94425838047799,11.468344363251,"Mmp14","matrix metallopeptidase 14 (membrane-inserted)"
"ENSMUSG00000000958",15.4968679773213,17.0700441622089,16.6326786554422,23.2289332158878,14.7754448991998,16.5930869799419,103.797055890002,"Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"ENSMUSG00000000959",6.19874719092853,9.96258805196534,9.3320754288168,3.94891864670093,8.67764224238719,4.89632074817957,43.0162923089784,"Oxa1l","oxidase assembly 1-like"
"ENSMUSG00000000976",4.3672991572451,4.79905156161745,6.28486712552968,7.5106884064704,4.6906174283174,5.78037866104533,33.4329023402254,"Heatr6","HEAT repeat containing 6"
"ENSMUSG00000000982",41.6302226118041,46.3503334368876,35.6777305509867,50.3293553010903,48.3915364688078,30.0579690374357,252.437147407012,"Ccl3","chemokine (C-C motif) ligand 3"
"ENSMUSG00000001016",29.9371313198253,17.4952765790611,22.9810292872904,32.3656469474704,26.8146962985478,29.2419155794058,158.835696011601,"Ilf2","interleukin enhancer binding factor 2"
"ENSMUSG00000001017",26.9786383423367,33.2288760025917,26.2186881095329,25.396966982704,24.9384493272208,28.0858398471967,164.847458611583,"Chtop","chromatin target of PRMT1"
"ENSMUSG00000001018",6.97359058979459,7.89717345582619,6.66576816344057,8.51727551249221,7.81769571386233,5.03232965785123,42.9038330932671,"Snapin","SNAP-associated protein"
"ENSMUSG00000001034",3.09937359546426,3.037374406087,5.39609803707094,1.00658710602181,2.03260088560421,2.78818264826892,17.3602166785171,"Mapk7","mitogen-activated protein kinase 7"
"ENSMUSG00000001036",1.05660463481736,2.7336369654783,2.22192272114686,3.87148886931464,3.04890132840631,0.884057912865756,13.8166124320292,"Epn2","epsin 2"
"ENSMUSG00000001052",31.0641762636305,24.4204902249394,27.6153252485395,26.0164052017944,21.1077784274283,23.0535101893455,153.277685555678,"Sec24b","Sec24 related gene family, member B (S. cerevisiae)"
"ENSMUSG00000001053",0.0704403089878242,0.546727393095659,0,0.0774297773862928,0.547238699970363,1.36008909671655,2.60192527615669,"N4bp3","NEDD4 binding protein 3"
"ENSMUSG00000001054",0.84528370785389,0.728969857460879,0.825285582140261,2.1680337668162,0.390884785693117,2.51616482892561,7.47462252888996,"Rmnd5b","required for meiotic nuclear division 5 homolog B"
"ENSMUSG00000001062",4.01509761230598,3.46260682293917,4.38036193597523,4.10377820147352,3.59614002837667,5.37235193203036,24.9303365331009,"Vps9d1","VPS9 domain containing 1"
"ENSMUSG00000001065",0.563522471902593,0.789717345582619,0.634835063184816,0.929157328635514,1.17265435707935,1.22408018704489,5.31396675342978,"Zfp276","zinc finger protein (C2H2 type) 276"
"ENSMUSG00000001089",12.6792556178084,18.4672363890089,21.3304581230098,10.6853092793084,12.2737822707639,15.3010023380612,90.7370440179605,"Luzp1","leucine zipper protein 1"
"ENSMUSG00000001098",2.88805266850079,1.27569725055654,6.2213836192112,0.387148886931464,0.70359261424761,2.85618710310475,14.3320621425524,"Kctd10","potassium channel tetramerisation domain containing 10"
"ENSMUSG00000001100",3.94465730331815,1.15420227431306,2.53934025273927,2.71004220852025,1.64171609991109,5.03232965785123,17.022287796653,"Poldip2","polymerase (DNA-directed), delta interacting protein 2"
"ENSMUSG00000001105",2.25408988761037,2.7336369654783,3.61855986015345,4.18120797885981,4.14337872834704,2.9921960127764,19.9230694332254,"Ift20","intraflagellar transport 20"
"ENSMUSG00000001123",15.637748595297,17.3130341146959,11.4270311373267,15.0988065903271,13.2119057564273,13.5328865123297,86.2214127064036,"Lgals9","lectin, galactose binding, soluble 9"
"ENSMUSG00000001127",17.4691966289804,12.3317400887132,20.2512385155956,15.87310436419,13.3682596707046,11.6967662317623,90.9903054999462,"Araf","Araf proto-oncogene, serine/threonine kinase"
"ENSMUSG00000001134",0.986164325829539,1.03270729806958,0.571351556866335,1.70345510249844,0.93812348566348,1.70011137089568,6.93191313982306,"Uxt","ubiquitously expressed transcript"
"ENSMUSG00000001138",6.48050842687982,11.4205277668871,11.8079321752376,4.56835686579128,6.33233352822849,8.4325523996426,49.0422111626669,"Cnnm3","cyclin M3"
"ENSMUSG00000001143",8.87547893246585,12.6962250174436,10.0938775046386,13.2404919330561,8.59946528524856,6.39241875456777,59.8979574274205,"Lman2l","lectin, mannose-binding 2-like"
"ENSMUSG00000001150",6.62138904485547,7.47194103897401,8.18937231508413,5.4200844170405,6.80139527106023,5.23634302235871,39.740525109373,"Mcm3ap","minichromosome maintenance complex component 3 associated protein"
"ENSMUSG00000001151",3.94465730331815,5.52802141907833,6.41183413816665,3.2520506502243,2.97072437126769,4.9643252030154,27.0716130850705,"Pcnt","pericentrin (kendrin)"
"ENSMUSG00000001156",2.81761235951297,5.04204151410441,4.06294440438282,1.31630621556698,1.87624697132696,11.2887395027473,26.4038909676415,"Mxd1","MAX dimerization protein 1"
"ENSMUSG00000001157",2.88805266850079,4.98129402598267,3.87249388542738,3.40691020499688,3.83067089979254,4.76031183850792,23.7397335232082,"Gmcl1","germ cell-less, spermatogenesis associated 1"
"ENSMUSG00000001158",2.3245301965982,0.850464833704359,1.84102168323597,0.619438219090343,0.93812348566348,1.08807127737324,7.66164969566559,"Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5)"
"ENSMUSG00000001173",6.1283068819407,4.61680909725223,7.42757023926235,4.02634842408723,6.87957222819885,3.26421383211971,32.3428207028611,"Ocrl","OCRL, inositol polyphosphate-5-phosphatase"
"ENSMUSG00000001175",123.693182582619,129.695887139915,130.649056003435,80.6818280365171,75.9880023387419,156.682263941746,697.390220042974,"Calm1","calmodulin 1"
"ENSMUSG00000001211",3.94465730331815,6.80371866963487,7.42757023926235,5.03293553010903,5.08150221401051,8.36454794480677,36.6549319011417,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3"
"ENSMUSG00000001227",2.25408988761037,0.546727393095659,1.14270311373267,1.0840168834081,0.312707828554493,0.884057912865756,6.22430301926705,"Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"ENSMUSG00000001229",1.62012710671996,1.8224246436522,1.84102168323597,1.85831465727103,2.11077784274283,1.22408018704489,10.4767461206669,"Dpp9","dipeptidylpeptidase 9"
