"","moto_1.counts","moto_2.counts","sum","Symbol","Name"
"ENSMUSG00000000003",0,0,0,"Pbsn","probasin"
"ENSMUSG00000000028",3.53191404236044,3.45645919261071,6.98837323497116,"Cdc45","cell division cycle 45"
"ENSMUSG00000000031",0,0.0278746709081509,0.0278746709081509,"H19","H19, imprinted maternally expressed transcript"
"ENSMUSG00000000037",0.231600920810521,0.501744076346717,0.733344997157238,"Scml2","sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000049",1.12905448895129,1.17073617814234,2.29979066709363,"Apoh","apolipoprotein H"
"ENSMUSG00000000056",44.3805264503161,43.8468573385214,88.2273837888375,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",7.12172831492352,11.2334923759848,18.3552206909083,"Cav2","caveolin 2"
"ENSMUSG00000000078",27.5315594613507,25.2544518427847,52.7860113041354,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",6.3111250920867,6.46692365069102,12.7780487427777,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",153.754061303085,188.349151326376,342.10321262946,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",0.868503453039454,1.17073617814234,2.03923963118179,"Tbx2","T-box 2"
"ENSMUSG00000000094",0.11580046040526,0.0278746709081509,0.143675131313411,"Tbx4","T-box 4"
"ENSMUSG00000000103",0,0,0,"Zfy2","zinc finger protein 2, Y-linked"
"ENSMUSG00000000120",1.24485494935655,1.78397893812166,3.02883388747821,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",1.96860782688943,3.09408847080475,5.06269629769418,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",5.15312048803409,5.77005687798724,10.9231773660213,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",9.03243591161032,7.16379042339479,16.1962263350051,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",65.774661510188,74.2859979702222,140.06065948041,"Xpo6","exportin 6"
"ENSMUSG00000000134",42.7014197744398,42.5088731349302,85.21029290937,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",2.02650805709206,2.48084571082543,4.50735376791749,"Axin2","axin 2"
"ENSMUSG00000000148",12.7380506445787,14.7457009104118,27.4837515549905,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",41.2539140193741,57.9793154889539,99.233229508328,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",1.96860782688943,3.54008320533517,5.5086910322246,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000157",0,0,0,"Itgb2l","integrin beta 2-like"
"ENSMUSG00000000159",0.173700690607891,0.167248025448906,0.340948716056796,"Igsf5","immunoglobulin superfamily, member 5"
"ENSMUSG00000000167",0.868503453039454,1.19861084905049,2.06711430208994,"Pih1d2","PIH1 domain containing 2"
"ENSMUSG00000000168",183.080527900717,165.268923814427,348.349451715144,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",119.766626174141,128.502232886576,248.268859060716,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182",0.11580046040526,0.111498683632604,0.227299144037864,"Fgf23","fibroblast growth factor 23"
"ENSMUSG00000000183",0,0,0,"Fgf6","fibroblast growth factor 6"
"ENSMUSG00000000184",1.99755794199074,2.00697630538687,4.00453424737761,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",49.3888963628436,55.6657178035774,105.054614166421,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",122.806388259779,116.711247092428,239.517635352207,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000202",8.27973291897612,11.1498683632604,19.4296012822365,"Btbd17","BTB (POZ) domain containing 17"
"ENSMUSG00000000204",0,0,0,"Slfn4","schlafen 4"
"ENSMUSG00000000214",0.11580046040526,0,0.11580046040526,"Th","tyrosine hydroxylase"
"ENSMUSG00000000215",0.0579002302026302,0,0.0579002302026302,"Ins2","insulin II"
"ENSMUSG00000000216",0.0868503453039454,0.111498683632604,0.198349028936549,"Scnn1g","sodium channel, nonvoltage-gated 1 gamma"
"ENSMUSG00000000223",21.1625341390614,20.0976377247768,41.2601718638382,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000244",0.11580046040526,0.139373354540755,0.255173814946015,"Tspan32","tetraspanin 32"
"ENSMUSG00000000247",0.144750575506576,0.139373354540755,0.28412393004733,"Lhx2","LIM homeobox protein 2"
"ENSMUSG00000000248",0,0,0,"Clec2g","C-type lectin domain family 2, member g"
"ENSMUSG00000000253",163.510250092228,185.673182919193,349.183433011421,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",32.9741811003979,35.5123307369843,68.4865118373822,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266",15.7199125000141,17.4216693175943,33.1415818176084,"Mid2","midline 2"
"ENSMUSG00000000275",1.21590483425524,1.39373354540755,2.60963837966278,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",108.070779673209,96.1954893040288,204.266268977238,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",46.8702363490292,46.0768310111735,92.9470673602027,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",23.6811941528758,25.0314544755195,48.7126486283953,"Mnt","max binding protein"
"ENSMUSG00000000290",0.434251726519727,0.808365456336377,1.2426171828561,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",29.1817160221256,32.4182422661795,61.5999582883052,"Hddc2","HD domain containing 2"
"ENSMUSG00000000296",109.63408588868,106.592741552769,216.22682744145,"Tpd52l1","tumor protein D52-like 1"
"ENSMUSG00000000301",7.41122946593667,7.30316377793554,14.7143932438722,"Pemt","phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303",0.231600920810521,0.362370721805962,0.593971642616483,"Cdh1","cadherin 1"
"ENSMUSG00000000305",12.3616991482616,12.933847301382,25.2955464496436,"Cdh4","cadherin 4"
"ENSMUSG00000000308",915.373689388483,847.529368962329,1762.90305835081,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000317",0.144750575506576,0.111498683632604,0.256249259139179,"Bcl6b","B cell CLL/lymphoma 6, member B"
"ENSMUSG00000000318",0,0,0,"Clec10a","C-type lectin domain family 10, member A"
"ENSMUSG00000000320",0.0289501151013151,0.195122696357056,0.224072811458372,"Alox12","arachidonate 12-lipoxygenase"
"ENSMUSG00000000325",43.2225218462635,49.5611648746923,92.7836867209558,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",84.1000843693204,100.432439282068,184.532523651388,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",69.8855778545747,77.3522117701188,147.237789624694,"Rtca","RNA 3'-terminal phosphate cyclase"
"ENSMUSG00000000340",5.67422255985776,6.18817694160951,11.8623995014673,"Dbt","dihydrolipoamide branched chain transacylase E2"
"ENSMUSG00000000346",120.056127325154,110.662443505359,230.718570830513,"Dazap2","DAZ associated protein 2"
"ENSMUSG00000000355",68.5538725599142,54.662229650884,123.216102210798,"Mcts1","malignant T cell amplified sequence 1"
"ENSMUSG00000000359",0,0.111498683632604,0.111498683632604,"Rem1","rad and gem related GTP binding protein 1"
"ENSMUSG00000000365",0.434251726519727,0.390245392714113,0.82449711923384,"Rnf17","ring finger protein 17"
"ENSMUSG00000000374",69.7408272790681,77.8260811755574,147.566908454626,"Trappc10","trafficking protein particle complex 10"
"ENSMUSG00000000378",41.1091634438675,41.00364090589,82.1128043497575,"Ccm2","cerebral cavernous malformation 2"
"ENSMUSG00000000381",0,0,0,"Wap","whey acidic protein"
"ENSMUSG00000000384",41.2249639042727,50.7040263819265,91.9289902861993,"Tbrg4","transforming growth factor beta regulated gene 4"
"ENSMUSG00000000385",0,0,0,"Tmprss2","transmembrane protease, serine 2"
"ENSMUSG00000000386",0.0579002302026302,0,0.0579002302026302,"Mx1","MX dynamin-like GTPase 1"
"ENSMUSG00000000392",0.0868503453039454,0.0836240127244528,0.170474358028398,"Fap","fibroblast activation protein"
"ENSMUSG00000000394",0,0,0,"Gcg","glucagon"
"ENSMUSG00000000399",222.250033632796,205.687196631246,427.937230264042,"Ndufa9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9"
"ENSMUSG00000000402",3.21346277624598,3.51220853442702,6.725671310673,"Egfl6","EGF-like-domain, multiple 6"
"ENSMUSG00000000409",0.0289501151013151,0.0557493418163019,0.084699456917617,"Lck","lymphocyte protein tyrosine kinase"
"ENSMUSG00000000411",0,0,0,"Tssk3","testis-specific serine kinase 3"
"ENSMUSG00000000416",11.7247966160326,11.7909857941478,23.5157824101805,"Cttnbp2","cortactin binding protein 2"
"ENSMUSG00000000420",45.5095809392674,44.2928520730518,89.8024330123192,"Galnt1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1"
"ENSMUSG00000000435",0,0.0278746709081509,0.0278746709081509,"Myf5","myogenic factor 5"
"ENSMUSG00000000439",22.3784389733166,23.1917261955816,45.5701651688982,"Mkrn2","makorin, ring finger protein, 2"
"ENSMUSG00000000440",1.56330621547102,1.70035492539721,3.26366114086822,"Pparg","peroxisome proliferator activated receptor gamma"
"ENSMUSG00000000441",40.2117098757267,46.9688204802343,87.180530355961,"Raf1","v-raf-leukemia viral oncogene 1"
"ENSMUSG00000000486",3.35821335175255,3.51220853442702,6.87042188617957,"Sept1","septin 1"
"ENSMUSG00000000489",17.2832187154851,21.0732512065621,38.3564699220472,"Pdgfb","platelet derived growth factor, B polypeptide"
"ENSMUSG00000000530",3.01081197053677,2.34147235628468,5.35228432682145,"Acvrl1","activin A receptor, type II-like 1"
"ENSMUSG00000000531",9.40878740792741,9.72826014694467,19.1370475548721,"Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein"
"ENSMUSG00000000532",68.6986231354208,69.7145519412855,138.413175076706,"Acvr1b","activin A receptor, type 1B"
"ENSMUSG00000000538",343.637866252611,388.126917725094,731.764783977704,"Tom1l2","target of myb1-like 2 (chicken)"
"ENSMUSG00000000544",0,0,0,"Gpa33","glycoprotein A33 (transmembrane)"
"ENSMUSG00000000552",151.061700598662,148.404747914996,299.466448513658,"Zfp385a","zinc finger protein 385A"
"ENSMUSG00000000555",2.57656024401705,2.59234439445804,5.16890463847508,"Itga5","integrin alpha 5 (fibronectin receptor alpha)"
"ENSMUSG00000000560",124.109143439338,78.299950580996,202.409094020334,"Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"ENSMUSG00000000561",40.0669593002201,34.174346533393,74.2413058336132,"Wdr77","WD repeat domain 77"
"ENSMUSG00000000562",0.11580046040526,0.0557493418163019,0.171549802221562,"Adora3","adenosine A3 receptor"
"ENSMUSG00000000563",406.256965216755,357.604153080668,763.861118297423,"Atp5f1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1"
"ENSMUSG00000000567",6.80327704880905,6.91291838522143,13.7161954340305,"Sox9","SRY (sex determining region Y)-box 9"
"ENSMUSG00000000568",107.607577831588,76.4880969719661,184.095674803554,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D"
"ENSMUSG00000000579",0,0.0557493418163019,0.0557493418163019,"Dynlt1c","dynein light chain Tctex-type 1C"
"ENSMUSG00000000581",47.4202885359542,42.7039958312872,90.1242843672414,"C1d","C1D nuclear receptor co-repressor"
"ENSMUSG00000000594",30.8318725829006,33.2823570643322,64.1142296472328,"Gm2a","GM2 ganglioside activator protein"
"ENSMUSG00000000600",19.6860782688943,19.2892722684404,38.9753505373347,"Krit1","KRIT1, ankyrin repeat containing"
"ENSMUSG00000000605",171.442581629988,166.216662625304,337.659244255292,"Clcn4","chloride channel, voltage-sensitive 4"
"ENSMUSG00000000606",0,0,0,"Vmn2r88","vomeronasal 2, receptor 88"
"ENSMUSG00000000617",0,0,0,"Grm6","glutamate receptor, metabotropic 6"
"ENSMUSG00000000627",49.4757467081475,54.0768615618128,103.55260826996,"Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"ENSMUSG00000000628",0.289501151013151,0.250872038173358,0.54037318918651,"Hk2","hexokinase 2"
"ENSMUSG00000000631",244.425821800404,246.885960233493,491.311782033896,"Myo18a","myosin XVIIIA"
"ENSMUSG00000000632",81.0603222836823,96.1397399622125,177.200062245895,"Sez6","seizure related gene 6"
"ENSMUSG00000000673",0.11580046040526,0.0557493418163019,0.171549802221562,"Haao","3-hydroxyanthranilate 3,4-dioxygenase"
"ENSMUSG00000000682",0.0868503453039454,0.278746709081509,0.365597054385455,"Cd52","CD52 antigen"
"ENSMUSG00000000686",0,0.139373354540755,0.139373354540755,"Abhd15","abhydrolase domain containing 15"
"ENSMUSG00000000690",16.7621166436615,18.2579094448389,35.0200260885003,"Hoxb6","homeobox B6"
"ENSMUSG00000000693",0.202650805709206,0.334496050897811,0.537146856607017,"Loxl3","lysyl oxidase-like 3"
"ENSMUSG00000000701",0,0,0,"Tcl1b5","T cell leukemia/lymphoma 1B, 5"
