"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"724","ENSMUSG00000042213",2.3857589207225,3.8357307157766,3.67735551111919e-22,"Zfand4","zinc finger, AN1-type domain 4","67492"
"775","ENSMUSG00000045817",1.37421173858617,5.45441604493095,6.30444224638838e-23,"Zfp36l2","zinc finger protein 36, C3H type-like 2","12193"
"762","ENSMUSG00000044786",2.59450113460321,4.45660621370501,1.86901660228778e-16,"Zfp36","zinc finger protein 36","22695"
"446","ENSMUSG00000029826",1.38208586204474,3.91771919945224,7.30906917292129e-18,"Zc3hav1","zinc finger CCCH type, antiviral 1","78781"
"733","ENSMUSG00000042677",1.98291565367629,1.75629255415412,1.91009195979133e-15,"Zc3h12a","zinc finger CCCH type containing 12A","230738"
"383","ENSMUSG00000027514",4.73094319692371,0.852840135942706,5.16972781532143e-20,"Zbp1","Z-DNA binding protein 1","58203"
"693","ENSMUSG00000040483",1.70863161697311,3.90281032906764,5.49349961608966e-16,"Xaf1","XIAP associated factor 1","327959"
"386","ENSMUSG00000027656",2.53562137941905,0.952886849451073,5.4085435245299e-10,"Wisp2","WNT1 inducible signaling pathway protein 2","22403"
"496","ENSMUSG00000031165",1.71392902415623,1.84618374400945,1.5031550931012e-20,"Was","Wiskott-Aldrich syndrome","22376"
"3","ENSMUSG00000000125",1.06790389362692,4.18589123480873,1.31250401217819e-09,"Wnt3","wingless-type MMTV integration site family, member 3","22415"
"835","ENSMUSG00000051506",1.30764460243619,2.36113991611124,1.94525443283349e-12,"Wdfy4","WD repeat and FYVE domain containing 4","545030"
"85","ENSMUSG00000007030",-1.62246140819253,3.11728039319378,2.36139169416172e-21,"Vwa7","von Willebrand factor A domain containing 7","27762"
"133","ENSMUSG00000018143",1.6420980781583,4.94875755016079,2.56071552871192e-20,"Mafk","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)","17135"
"732","ENSMUSG00000042622",3.47727382744212,3.96744210901923,1.66992809682083e-24,"Maff","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)","17133"
"238","ENSMUSG00000022479",-1.19724352072968,1.67125705285777,3.22186921790788e-07,"Vdr","vitamin D receptor","22337"
"364","ENSMUSG00000026728",3.24493055716707,8.47254266746962,9.16918282366434e-129,"Vim","vimentin","22352"
"567","ENSMUSG00000034116",1.76168710905341,3.37664680559307,5.93202906992095e-19,"Vav1","vav 1 oncogene","22324"
"678","ENSMUSG00000039646",1.10219127178811,4.13804064688117,8.48959193611533e-12,"Vasn","vasorin","246154"
"105","ENSMUSG00000011171",-1.76337040118829,2.19302000241216,2.13168409805048e-10,"Vipr2","vasoactive intestinal peptide receptor 2","22355"
"271","ENSMUSG00000023951",-1.19374138387089,5.4532855265423,1.64729424518988e-17,"Vegfa","vascular endothelial growth factor A","22339"
