"","X","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"629",1086,"ENSMUSG00000109572",-1.40634179483242,0.541115881524025,4.09413182549193e-09,"Cfap99","cilia and flagella associated protein 99",100862066
"214",1067,"ENSMUSG00000103081",3.11181587320819,1.16624896016058,2.2561877734163e-05,"Pcdhgb8","protocadherin gamma subfamily B, 8",93705
"213",1062,"ENSMUSG00000102543",1.30908933869576,3.43097073585003,8.03710402220267e-18,"Pcdhgc5","protocadherin gamma subfamily C, 5",93708
"337",1059,"ENSMUSG00000101389",3.98579133906923,0.960484064043175,5.25074293613541e-15,"Ms4a4a","membrane-spanning 4-domains, subfamily A, member 4A",666907
"229",1048,"ENSMUSG00000097441",-1.56871180911162,1.91802846209733,2.21880399158198e-19,"Gm26633","predicted gene, 26633",102633600
"222",1042,"ENSMUSG00000096727",1.64097413943399,1.80517198590154,2.0150482793121e-14,"Psmb9","proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)",16912
"455",1035,"ENSMUSG00000091705",1.53131123546205,1.95352908825951,3.83625997813605e-08,"H2-Q2","histocompatibility 2, Q region locus 2",15013
"625",1032,"ENSMUSG00000091119",1.32842780582029,0.60315501392126,9.70389515707886e-07,"Ccdc152","coiled-coil domain containing 152",100039139
"177",1027,"ENSMUSG00000087478",-1.58030801636832,2.00499598471495,3.94637382908515e-08,"4930506C21Rik","RIKEN cDNA 4930506C21 gene",75060
"234",1025,"ENSMUSG00000086496",-1.56692517136193,4.42681276122861,2.63271662521625e-14,"Gm14204","predicted gene 14204",100045469
"451",1012,"ENSMUSG00000079491",1.24607844450756,1.74555637205772,0.014627995509311,"H2-T10","histocompatibility 2, T region locus 10",15024
"252",1011,"ENSMUSG00000079484",2.11737552386579,2.3988823564612,6.13044604478706e-12,"Phyhd1","phytanoyl-CoA dioxygenase domain containing 1",227696
"335",1010,"ENSMUSG00000079419",3.98019970324431,2.50294070493007,2.55150683283633e-51,"Ms4a6c","membrane-spanning 4-domains, subfamily A, member 6C",73656
"408",1006,"ENSMUSG00000079017",2.97120575234853,2.16912911724653,8.16478229516997e-23,"Ifi27l2a","interferon, alpha-inducible protein 27 like 2A",76933
"156",1005,"ENSMUSG00000079014",5.51865752523127,1.30535205137078,5.67035472034961e-45,"Serpina3i","serine (or cysteine) peptidase inhibitor, clade A, member 3I",628900
"155",1004,"ENSMUSG00000079012",4.23116643565976,2.19359929446047,4.15820279086699e-07,"Serpina3m","serine (or cysteine) peptidase inhibitor, clade A, member 3M",20717
