"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"1138","ENSMUSG00000105504",1.06188986002788,2.08833162115694,0.00174977892526824,"Gbp5","guanylate binding protein 5","229898"
"1131","ENSMUSG00000103749",1.13838201699517,2.74134235944801,2.92874082475027e-05,"Pcdhgb5","protocadherin gamma subfamily B, 5","93702"
"1100","ENSMUSG00000095115",1.08693999892101,4.13176706300656,1.74454731302802e-07,"Itpripl2","inositol 1,4,5-triphosphate receptor interacting protein-like 2","319622"
"1096","ENSMUSG00000092341",1.09292965401041,6.48439403134091,0.000404861871153867,"Malat1","metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)","72289"
"1095","ENSMUSG00000092274",1.34200530153181,6.85713457927849,0.000130576798535113,"Neat1","nuclear paraspeckle assembly transcript 1 (non-protein coding)","66961"
"1094","ENSMUSG00000091971",-1.15526656995074,0.614223848963894,0.00071359454152862,"Hspa1a","heat shock protein 1A","193740"
"1091","ENSMUSG00000091649",2.56425220653938,0.757774687676094,5.65183664750231e-13,"Phf11b","PHD finger protein 11B","236451"
"1056","ENSMUSG00000079293",4.47460378462444,3.83791411022826,7.41440813892212e-43,"Clec7a","C-type lectin domain family 7, member a","56644"
"1055","ENSMUSG00000079110",1.13124939986146,4.14683273253009,2.00473182391661e-07,"Capn3","calpain 3","12335"
"1054","ENSMUSG00000079065",1.48002310050549,2.7252072972142,0.00241196267908091,"BC005561","cDNA sequence BC005561","100042165"
"1053","ENSMUSG00000079057",1.09265926012866,4.11261726100094,5.14472211283941e-10,"Cyp4v3","cytochrome P450, family 4, subfamily v, polypeptide 3","102294"
"1048","ENSMUSG00000078945",1.96647910055744,2.22084989986455,6.60713661532732e-17,"Naip2","NLR family, apoptosis inhibitory protein 2","17948"
"1046","ENSMUSG00000078853",1.37752664699683,2.97490271219018,2.53069832328361e-06,"Igtp","interferon gamma induced GTPase","16145"
"1034","ENSMUSG00000074622",1.0880681500505,4.30076511127977,1.19952663566259e-06,"Mafb","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)","16658"
"1025","ENSMUSG00000073664",1.00387773479167,4.73381992158366,0.00080777220514544,"Nbeal1","neurobeachin like 1","269198"
"1023","ENSMUSG00000073490",4.46213925454063,1.96872085654027,2.05203403795647e-26,"Ifi207","interferon activated gene 207","226691"
"1022","ENSMUSG00000073489",3.97994946995877,1.36432981238226,1.11760470119196e-15,"Ifi204","interferon activated gene 204","15951"
"1019","ENSMUSG00000073409",3.26662019816206,1.88733734737399,1.07504873605129e-12,"H2-Q8","histocompatibility 2, Q region locus 8","15019"
"1013","ENSMUSG00000072294",1.15438961028811,2.31974018695188,0.0117102160397328,"Klf12","Kruppel-like factor 12","16597"
"1012","ENSMUSG00000071715",1.54487489256462,1.96014831622616,2.39751844931215e-13,"Ncf4","neutrophil cytosolic factor 4","17972"
"1011","ENSMUSG00000071714",2.35814786535788,1.73472079365791,2.94978155724531e-17,"Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)","12984"
"1010","ENSMUSG00000071713",2.68608376036316,2.61138964230038,5.76022657826339e-31,"Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","12983"
"1006","ENSMUSG00000071203",2.31622729219976,1.3476707111791,1.59527831699255e-11,"Naip5","NLR family, apoptosis inhibitory protein 5","17951"
"1004","ENSMUSG00000070942",1.91054279216563,0.950691797535497,2.05304987696152e-07,"Il1rl2","interleukin 1 receptor-like 2","107527"
"999","ENSMUSG00000070427",1.91103606532099,2.15816077344579,1.42202760258712e-16,"Il18bp","interleukin 18 binding protein","16068"
"997","ENSMUSG00000070327",1.82160411661924,4.63964767927617,8.48938808867958e-07,"Rnf213","ring finger protein 213","672511"
"995","ENSMUSG00000069892",2.3362530499373,0.708570185860704,7.05038349070019e-06,"9930111J21Rik2","RIKEN cDNA 9930111J21 gene 2","245240"
"994","ENSMUSG00000069874",1.18561025768859,2.32315221999009,3.16699429037623e-05,"Irgm2","immunity-related GTPase family M member 2","54396"
"993","ENSMUSG00000069833",1.23639740644251,6.04695533447435,3.167864900226e-08,"Ahnak","AHNAK nucleoprotein (desmoyokin)","66395"
"990","ENSMUSG00000069516",2.49778126352959,7.08476832448394,8.9444116381392e-25,"Lyz2","lysozyme 2","17105"
"989","ENSMUSG00000069045",1.00879991668712,5.80839102086751,0.000169028842925737,"Ddx3y","DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked","26900"
"982","ENSMUSG00000068245",2.45515865887936,0.840714762609629,1.66845863797198e-09,"Phf11d","PHD finger protein 11D","219132"
"969","ENSMUSG00000065037",3.1630924848632,1.74184140986947,3.32118322065478e-20,"Rn7sk","RNA, 7SK, nuclear","19817"
"962","ENSMUSG00000063663",1.01436287258362,2.81025655520951,0.00161283880102074,"Brwd3","bromodomain and WD repeat domain containing 3","382236"
"955","ENSMUSG00000063234",1.27480461333089,1.29926741532618,2.99163013337873e-08,"Gpr84","G protein-coupled receptor 84","80910"
"944","ENSMUSG00000061436",1.22425521833262,6.15033498307994,0.00150787071811705,"Hipk2","homeodomain interacting protein kinase 2","15258"
"942","ENSMUSG00000061232",1.98315491547281,6.45383838066392,3.31564746316511e-20,"H2-K1","histocompatibility 2, K1, K region","14972"
"941","ENSMUSG00000061132",1.3097216863652,2.58165347792353,4.57412489116435e-08,"Blnk","B cell linker","17060"
"940","ENSMUSG00000061039",1.14766722671337,0.827507104403918,0.000142514807071538,"Olfr920","olfactory receptor 920","258783"
"939","ENSMUSG00000060802",1.97331705188921,7.737308798659,1.32885985939899e-35,"B2m","beta-2 microglobulin","12010"
"935","ENSMUSG00000060519",1.28554972759735,4.76269349458815,3.12380483407825e-09,"Tor3a","torsin family 3, member A","30935"
"929","ENSMUSG00000059588",1.7592261299111,4.12007687797707,1.08275234354917e-05,"Calcrl","calcitonin receptor-like","54598"
"928","ENSMUSG00000059498",1.650226332754,4.64772845642631,2.02548412959145e-24,"Fcgr3","Fc receptor, IgG, low affinity III","14131"
"927","ENSMUSG00000059456",1.0803552338674,3.78928436816513,1.7487436167335e-10,"Ptk2b","PTK2 protein tyrosine kinase 2 beta","19229"
