"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"55","ENSMUSG00000034163",-1.10395088574343,4.95037372544556,1.8609699061236e-09,"Zfc3h1","zinc finger, C3H1-type containing","216345"
"103","ENSMUSG00000052446",-1.10596393822507,2.44618512624145,0.00938691901751987,"Zfp961","zinc finger protein 961","234413"
"25","ENSMUSG00000024298",-1.66984569184103,4.19010889917526,7.03612161919528e-05,"Zfp871","zinc finger protein 871","208292"
"64","ENSMUSG00000036916",-1.16653934922426,4.18947470834426,4.57931365866033e-07,"Zfp280c","zinc finger protein 280C","208968"
"195","ENSMUSG00000102976",-1.00008023760371,1.28825246047371,0.00064542086802969,"Zc3h11a","zinc finger CCCH type containing 11A","70579"
"79","ENSMUSG00000043467",-1.19580171038495,3.67715850886158,7.72381166810304e-06,"Zbtb37","zinc finger and BTB domain containing 37","240869"
"19","ENSMUSG00000022708",-1.34189756563485,5.88809571920599,5.5638489763586e-11,"Zbtb20","zinc finger and BTB domain containing 20","56490"
"101","ENSMUSG00000051951",-1.41453926728852,3.31297300220784,3.57053239624755e-08,"Xkr4","X-linked Kx blood group related 4","497097"
"112","ENSMUSG00000055567",-1.16301803652693,7.92709893068564,8.75329687505246e-09,"Unc80","unc-80, NALCN activator","329178"
"136","ENSMUSG00000068457",-1.0260524497472,4.06936339084574,9.04443533651225e-06,"Uty","ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome","22290"
"166","ENSMUSG00000086228",-1.07322464026711,2.89701338285178,1.11506707981744e-05,"Ubap1l","ubiquitin-associated protein 1-like","208080"
"70","ENSMUSG00000038538",-1.07008828139546,5.07977794946493,2.42714508066377e-08,"Ubn2","ubinuclein 2","320538"
"131","ENSMUSG00000064179",2.29910131892137,1.01628418977224,1.05675116774952e-07,"Tnnt1","troponin T1, skeletal, slow","21955"
"77","ENSMUSG00000041710",-1.47902394008416,2.84322307406212,3.10420612084804e-06,"Trpc5","transient receptor potential cation channel, subfamily C, member 5","22067"
"11","ENSMUSG00000016150",-1.35298627345042,4.10623659389242,2.32540906816404e-07,"Tenm1","teneurin transmembrane protein 1","23963"
"10","ENSMUSG00000015829",-1.05060045399827,6.17911947121169,4.6466126919165e-11,"Tnr","tenascin R","21960"
"33","ENSMUSG00000027175",-1.21336828048764,5.46934920483158,1.97208978185923e-07,"Tcp11l1","t-complex 11 like 1","320554"
"50","ENSMUSG00000033450",1.60804369074805,0.725929810429909,7.08289176392728e-07,"Tagap","T cell activation Rho GTPase activating protein","72536"
"21","ENSMUSG00000022829",-1.31032597354918,4.21402828862278,9.8813342651386e-05,"Stxbp5l","syntaxin binding protein 5-like","207227"
"127","ENSMUSG00000063260",-1.01780347852885,1.63107056495712,0.00129002299172357,"Syt10","synaptotagmin X","54526"
"121","ENSMUSG00000059602",-1.03931509315713,3.54482247785015,2.37035859138989e-07,"Syn3","synapsin III","27204"
"92","ENSMUSG00000047793",-1.11365108621559,3.71737136180455,8.70998394794073e-06,"Sned1","sushi, nidogen and EGF-like domains 1","208777"
"58","ENSMUSG00000035236",-1.08886391690856,4.24052429887109,3.40440523936651e-05,"Scai","suppressor of cancer cell invasion","320271"
"38","ENSMUSG00000028188",-1.23511412029738,0.617875133007233,2.95999550948892e-06,"Spata1","spermatogenesis associated 1","70951"
"181","ENSMUSG00000096054",-1.28887401504787,7.31597216377791,1.05301743843167e-13,"Syne1","spectrin repeat containing, nuclear envelope 1","64009"
"65","ENSMUSG00000037341",-1.12318356729295,4.41084584990462,0.000188767846987948,"Slc9a7","solute carrier family 9 (sodium/hydrogen exchanger), member 7","236727"
"7","ENSMUSG00000006574",-1.46765742803204,0.690645241139317,0.0362950761282609,"Slc4a1","solute carrier family 4 (anion exchanger), member 1","20533"
"26","ENSMUSG00000024327",1.08194170391438,2.02211072394596,3.01739514582011e-11,"Slc39a7","solute carrier family 39 (zinc transporter), member 7","14977"
"135","ENSMUSG00000067144",1.04598577154468,1.1584099241609,2.20039419272473e-05,"Slc22a7","solute carrier family 22 (organic anion transporter), member 7","108114"
"117","ENSMUSG00000057182",-1.03917500684013,3.58410074221709,2.09654894623343e-06,"Scn3a","sodium channel, voltage-gated, type III, alpha","20269"
"108","ENSMUSG00000053877",-1.17554972617507,1.26517587374203,6.91109487668554e-06,"Srcap","Snf2-related CREBBP activator protein","100043597"
"43","ENSMUSG00000030655",-1.20503212022696,6.41235042123594,1.15982043031428e-08,"Smg1","SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)","233789"
"83","ENSMUSG00000044349",-1.23626280299188,8.32976296793031,1.12951074705791e-06,"Snhg11","small nucleolar RNA host gene 11","319317"
"81","ENSMUSG00000044176",-1.00144544837196,0.785272249006894,0.00283333034522455,"Spink10","serine peptidase inhibitor, Kazal type 10","328971"
"151","ENSMUSG00000079012",2.54300071966555,0.60444956305772,0.000158622682039717,"Serpina3m","serine (or cysteine) peptidase inhibitor, clade A, member 3M","20717"
"118","ENSMUSG00000057378",-1.10372269398891,4.41346843906447,6.1540406789279e-07,"Ryr3","ryanodine receptor 3","20192"
"36","ENSMUSG00000027981",-1.12155140255137,3.80774931108855,4.85843546196031e-07,"Rnpc3","RNA-binding region (RNP1, RRM) containing 3","67225"
"47","ENSMUSG00000031433",-1.01025517669655,2.42078566246789,0.000470958126478485,"Rbm41","RNA binding motif protein 41","237073"
"162","ENSMUSG00000085316",-1.19352972252951,0.896030586922208,0.00026378621068459,"D330050G23Rik","RIKEN cDNA D330050G23 gene","320975"
"142","ENSMUSG00000071753",-1.14206702772689,2.25420149321368,2.34146819753265e-13,"C230004F18Rik","RIKEN cDNA C230004F18 gene","331424"
"207","ENSMUSG00000109321",-1.21664839349545,1.86870872397671,2.44188009966887e-06,"A330076H08Rik","RIKEN cDNA A330076H08 gene","320026"
"182","ENSMUSG00000097073",-1.07974622862443,0.610764406368278,1.39868616400778e-06,"9430037G07Rik","RIKEN cDNA 9430037G07 gene","320692"
"183","ENSMUSG00000097145",-1.32906593309205,0.641909284319637,2.40902585215921e-08,"9230114K14Rik","RIKEN cDNA 9230114K14 gene","414108"
"24","ENSMUSG00000023873",-1.19218089716418,0.882020780281231,1.80272828343774e-07,"1700010I14Rik","RIKEN cDNA 1700010I14 gene","66931"
"61","ENSMUSG00000035896",1.29437464649825,2.47018326656568,3.63272496433983e-05,"Rnase1","ribonuclease, RNase A family, 1 (pancreatic)","19752"
"180","ENSMUSG00000095687",1.10248881344533,1.90026953841706,1.44729350615388e-07,"Rnaset2a","ribonuclease T2A","100037283"
"54","ENSMUSG00000034009",-1.16532322654736,0.786734748707021,8.6371575320626e-08,"Rxfp1","relaxin/insulin-like family peptide receptor 1","381489"
"71","ENSMUSG00000039087",-1.08299174704624,3.41531882538835,2.08668063781365e-08,"Rreb1","ras responsive element binding protein 1","68750"
"22","ENSMUSG00000023806",-1.13104946995025,0.861377525898082,3.28770443512389e-09,"Rsph3b","radial spoke 3B homolog (Chlamydomonas)","100037282"
