"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"1498","ENSMUSG00000092341",-1.61378995830781,6.88033236963704,2.78494852572176e-12,"Malat1","metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)","72289","GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"1399","ENSMUSG00000079065",-1.7924654529631,2.96880233829663,2.57426887454559e-06,"BC005561","cDNA sequence BC005561","100042165","GO:0000445","THO complex part of transcription export complex"
"1337","ENSMUSG00000072294",-1.65995756997188,2.69719658080411,7.35132864013386e-06,"Klf12","Kruppel-like factor 12","16597","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1267","ENSMUSG00000063663",-1.18627079552595,2.92929218767278,1.69890598059311e-05,"Brwd3","bromodomain and WD repeat domain containing 3","382236","GO:0003674","molecular_function"
"1234","ENSMUSG00000061436",-1.45919813603951,6.32830899916351,1.378597046421e-05,"Hipk2","homeodomain interacting protein kinase 2","15258","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1123","ENSMUSG00000053877",-1.17554972617507,1.26517587374203,6.91109487668554e-06,"Srcap","Snf2-related CREBBP activator protein","100043597","GO:0003674","molecular_function"
"935","ENSMUSG00000043467",-1.19580171038495,3.67715850886158,7.72381166810304e-06,"Zbtb37","zinc finger and BTB domain containing 37","240869","GO:0003674","molecular_function"
"839","ENSMUSG00000040225",-1.09508852635604,6.75679111727382,8.73155791809411e-10,"Prrc2c","proline-rich coiled-coil 2C","226562","GO:0002244","hematopoietic progenitor cell differentiation"
"652","ENSMUSG00000034731",-1.53651145838127,1.92501143972286,6.41120238980389e-09,"Dgkh","diacylglycerol kinase, eta","380921","GO:0004143","diacylglycerol kinase activity"
"619","ENSMUSG00000033792",-1.15751648332363,3.19779507321476,0.0021465756843015,"Atp7a","ATPase, Cu++ transporting, alpha polypeptide","11977","GO:0000166","nucleotide binding"
"588","ENSMUSG00000032525",-1.21493272361078,5.78128532734254,8.62020702373449e-07,"Nktr","natural killer tumor recognition sequence","18087","GO:0000413","protein peptidyl-prolyl isomerization"
"537","ENSMUSG00000031229",-1.1228191648145,6.12973768779669,7.65989447531257e-06,"Atrx","ATRX, chromatin remodeler","22589","GO:0000166","nucleotide binding"
"516","ENSMUSG00000030655",-1.20503212022696,6.41235042123594,1.15982043031428e-08,"Smg1","SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)","233789","GO:0000166","nucleotide binding"
"331","ENSMUSG00000025019",-1.74193819585133,2.14334912460081,7.34471815278078e-06,"Lcor","ligand dependent nuclear receptor corepressor","212391","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"305","ENSMUSG00000024298",-1.66984569184103,4.19010889917526,7.03612161919528e-05,"Zfp871","zinc finger protein 871","208292","GO:0003674","molecular_function"
"287","ENSMUSG00000023845",-1.37109527058663,4.97706333637791,0.000427828945331017,"Lnpep","leucyl/cystinyl aminopeptidase","240028","GO:0004177","aminopeptidase activity"
"263","ENSMUSG00000022708",-1.34189756563485,5.88809571920599,5.5638489763586e-11,"Zbtb20","zinc finger and BTB domain containing 20","56490","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"12","ENSMUSG00000000766",-1.39471359389793,1.83796076230034,0.00357964664413891,"Oprm1","opioid receptor, mu 1","18390","GO:0001965","G-protein alpha-subunit binding"
