"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"1516","ENSMUSG00000097145",-1.32906593309205,0.641909284319637,2.40902585215921e-08,"9230114K14Rik","RIKEN cDNA 9230114K14 gene","414108","GO:0003674","molecular_function"
"1508","ENSMUSG00000096054",-1.28887401504787,7.31597216377791,1.05301743843167e-13,"Syne1","spectrin repeat containing, nuclear envelope 1","64009","GO:0000932","P-body"
"1479","ENSMUSG00000090546",-1.53655461903195,3.16559762343781,7.65000587280561e-14,"Cdr1","cerebellar degeneration related antigen 1","631990","GO:0003674","molecular_function"
"1472","ENSMUSG00000090053",-1.41386370677441,1.59984833239758,1.8040724467535e-09,"Palm2","paralemmin 2","242481","GO:0003674","molecular_function"
"1354","ENSMUSG00000073940",1.21148055224836,5.40764198218625,1.33472681727049e-05,"Hbb-b2","hemoglobin, beta adult minor chain","15130","GO:0005344","oxygen transporter activity"
"1346","ENSMUSG00000073514",-1.59257431479209,2.67962715741027,5.2929879921501e-05,"Dok6","docking protein 6","623279","GO:0003674","molecular_function"
"1320","ENSMUSG00000070823",-1.65975491038446,2.88161754370936,1.26210174489312e-12,"Gm1043","predicted gene 1043","381634","GO:0003674","molecular_function"
"1310","ENSMUSG00000069919",1.05397714335155,7.12083702144798,6.01937813797571e-06,"Hba-a1","hemoglobin alpha, adult chain 1","15122","GO:0001701","in utero embryonic development"
"1290","ENSMUSG00000067028",-1.62727112186464,2.56862162843051,2.61044249059764e-06,"Cntnap5b","contactin associated protein-like 5B","241175","GO:0007155","cell adhesion"
"1276","ENSMUSG00000064179",2.29910131892137,1.01628418977224,1.05675116774952e-07,"Tnnt1","troponin T1, skeletal, slow","21955","GO:0003009","skeletal muscle contraction"
"1274","ENSMUSG00000064023",1.04620624873523,0.710047356925955,0.000238435724783309,"Klk8","kallikrein related-peptidase 8","259277","GO:0004252","serine-type endopeptidase activity"
"1238","ENSMUSG00000061601",-1.34445611459884,6.38305603553832,4.06959477141721e-11,"Pclo","piccolo (presynaptic cytomatrix protein)","26875","GO:0001222","transcription corepressor binding"
"1233","ENSMUSG00000061393",-1.0652006072223,1.71945875864143,1.64606251308641e-07,"Acvr2b","activin receptor IIB","11481","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1226","ENSMUSG00000060534",-1.464821122384,2.54240138642352,0.00010743164013113,"Dcc","deleted in colorectal carcinoma","13176","GO:0001764","neuron migration"
"1214","ENSMUSG00000059602",-1.03931509315713,3.54482247785015,2.37035859138989e-07,"Syn3","synapsin III","27204","GO:0000166","nucleotide binding"
"1152","ENSMUSG00000055540",-1.1355281345409,2.51593717906792,1.33599548654088e-08,"Epha6","Eph receptor A6","13840","GO:0000166","nucleotide binding"
