"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"1060","ENSMUSG00000101693",-1.28708492038921,1.8503927886607,1.00617747726778e-13,"Gm19461","predicted gene, 19461","100502933"
"1058","ENSMUSG00000100241",-1.03142968208408,5.17646167259209,5.21195564655956e-08,"Slc18a3","solute carrier family 18 (vesicular monoamine), member 3","20508"
"1050","ENSMUSG00000097515",-1.17707349579518,2.97568797479965,5.37628099012936e-17,"1700040D17Rik","RIKEN cDNA 1700040D17 gene","76602"
"1044","ENSMUSG00000096847",-1.11194975727808,5.91496689813715,7.34625484074682e-20,"Tmem151b","transmembrane protein 151B","210573"
"1031","ENSMUSG00000090877",-1.45687747214597,2.60182137071188,1.99063216730087e-07,"Hspa1b","heat shock protein 1B","15511"
"985","ENSMUSG00000074575",-1.82153654946579,2.62119709244604,1.471035038101e-32,"Kcng1","potassium voltage-gated channel, subfamily G, member 1","241794"
"983","ENSMUSG00000074385",-1.14214109896542,1.18649860518043,7.02679743636433e-08,"Gm10684","predicted gene 10684","100038468"
"974","ENSMUSG00000073418",3.1409426631575,7.46888419871159,3.23261211808366e-53,"C4b","complement component 4B (Chido blood group)","12268"
"960","ENSMUSG00000071604",1.36755258918265,4.94229349781394,6.44930476996053e-19,"Fam189a2","family with sequence similarity 189, member A2","381217"
"926","ENSMUSG00000066361",1.45279060880598,0.828154302707585,3.05372849066651e-06,"Serpina3c","serine (or cysteine) peptidase inhibitor, clade A, member 3C","16625"
"920","ENSMUSG00000063415",1.45781865811331,2.75652189854463,0.000459915553046121,"Cyp26b1","cytochrome P450, family 26, subfamily b, polypeptide 1","232174"
"909","ENSMUSG00000061740",1.78525274471592,6.99075369800704,6.26095210052490e-12,"Cyp2d22","cytochrome P450, family 2, subfamily d, polypeptide 22","56448"
"908","ENSMUSG00000061718",1.25481720152035,5.69654015707551,6.46080449056555e-09,"Ppp1r1b","protein phosphatase 1, regulatory (inhibitor) subunit 1B","19049"
"899","ENSMUSG00000060371",-1.06996552234535,7.54765534280326,4.65894909454483e-18,"Caln1","calneuron 1","140904"
"897","ENSMUSG00000060257",-1.06616625532473,4.16318007854234,6.24866411875193e-14,"Scrt2","scratch family zinc finger 2","545474"
"887","ENSMUSG00000058743",-2.22172372148991,3.36785868387903,3.16869328261139e-42,"Kcnj14","potassium inwardly-rectifying channel, subfamily J, member 14","211480"
"881","ENSMUSG00000058070",-1.65777959962694,6.89733965556583,1.17025237501552e-16,"Eml1","echinoderm microtubule associated protein like 1","68519"
"879","ENSMUSG00000057967",-1.16833861630217,2.38810298160531,4.58572616649411e-15,"Fgf18","fibroblast growth factor 18","14172"
"871","ENSMUSG00000056501",1.45887477690459,2.69449807578149,7.1512576851384e-13,"Cebpb","CCAAT/enhancer binding protein (C/EBP), beta","12608"
"870","ENSMUSG00000056423",-1.45647504872359,1.97508705898672,1.43630662727021e-06,"Uts2b","urotensin 2B","224065"
"858","ENSMUSG00000053931",1.28190092719811,7.88484716527458,8.22628908740669e-48,"Cnn3","calponin 3, acidic","71994"
"854","ENSMUSG00000053279",1.3018489296795,8.4981839397165,1.01703739290561e-25,"Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1","11668"
"850","ENSMUSG00000053025",-1.00213119082015,6.73141751586898,5.68836082682629e-24,"Sv2b","synaptic vesicle glycoprotein 2 b","64176"
"839","ENSMUSG00000052125",-1.37256618477289,4.1598149584575,4.63696982533073e-20,"F730043M19Rik","RIKEN cDNA F730043M19 gene","320046"
"837","ENSMUSG00000051920",-1.79964015913288,2.64600868871153,2.4256484936302e-24,"Rspo2","R-spondin 2","239405"
"820","ENSMUSG00000050121",-1.19009808427639,5.18070476685425,0.000231834013527776,"Opalin","oligodendrocytic myelin paranodal and inner loop protein","226115"
"817","ENSMUSG00000049721",-1.24765241111633,5.82014886125767,6.59193233761795e-08,"Gal3st1","galactose-3-O-sulfotransferase 1","53897"
"802","ENSMUSG00000048332",1.62954454349203,5.43093240537127,2.90553906705638e-23,"Lhfp","lipoma HMGIC fusion partner","108927"
"799","ENSMUSG00000047986",-1.83187409767618,3.14792968026658,1.31462543959193e-18,"Palm3","paralemmin 3","74337"
"795","ENSMUSG00000047606",-1.07187970159356,3.38124833695753,2.87284745456706e-12,"Ankrd34c","ankyrin repeat domain 34C","330998"
"787","ENSMUSG00000046854",-1.0516096455458,2.28723990695509,1.51695667897196e-08,"Pip5kl1","phosphatidylinositol-4-phosphate 5-kinase-like 1","227733"
"769","ENSMUSG00000045246",-1.34806291074949,6.19709734934372,1.46741140544129e-27,"Kcng4","potassium voltage-gated channel, subfamily G, member 4","66733"
"759","ENSMUSG00000044505",-1.74541184201084,3.97230082209222,2.5175022511154e-12,"Lingo4","leucine rich repeat and Ig domain containing 4","320747"
"752","ENSMUSG00000044080",1.22060791692212,7.20309846540928,5.14049695597258e-28,"S100a1","S100 calcium binding protein A1","20193"
