"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"1157","ENSMUSG00000109284",-1.27332411679528,2.55544219201724,1.78619570007843e-10,"B230311B06Rik","RIKEN cDNA B230311B06 gene","381914"
"1150","ENSMUSG00000107412",1.14172686872739,2.08139013559827,1.57917050418611e-07,"Gm20383","predicted gene, 20383","100504740"
"1148","ENSMUSG00000107176",1.14910185231795,1.4275323010767,0.000147371935431561,"Gm9794","predicted pseudogene 9794","100042008"
"1142","ENSMUSG00000105891",-1.44562460177514,2.73196951670707,1.93626545150061e-10,"A230001M10Rik","RIKEN cDNA A230001M10 gene","319951"
"1132","ENSMUSG00000104093",2.15553480344796,3.47063656292598,4.62197144166944e-15,"A330015K06Rik","RIKEN cDNA A330015K06 gene","102637797"
"1128","ENSMUSG00000103567",1.28881053472624,1.40266608046477,0.0105246932792383,"Pcdhga5","protocadherin gamma subfamily A, 5","93713"
"1126","ENSMUSG00000103081",1.94333344811078,1.40285727174241,0.0275552765578189,"Pcdhgb8","protocadherin gamma subfamily B, 8","93705"
"1123","ENSMUSG00000102543",1.57942389884685,3.43135015852978,3.33396375656857e-17,"Pcdhgc5","protocadherin gamma subfamily C, 5","93708"
"1120","ENSMUSG00000101389",4.23503801988889,1.05156380546812,1.33587360059582e-12,"Ms4a4a","membrane-spanning 4-domains, subfamily A, member 4A","666907"
"1116","ENSMUSG00000099696",1.39130676974416,4.54609876484992,2.97066355385174e-06,"2900052N01Rik","RIKEN cDNA 2900052N01 gene","73040"
"1111","ENSMUSG00000097462",1.48828582404561,1.82122054940477,1.61658906445486e-07,"9530026P05Rik","RIKEN cDNA 9530026P05 gene","330385"
"1110","ENSMUSG00000097441",-1.09338110786599,1.53496009042357,1.84378890409778e-06,"Gm26633","predicted gene, 26633","102633600"
"1105","ENSMUSG00000097184",-1.0866590419577,1.72905693212701,5.22630123245304e-07,"4632428C04Rik","RIKEN cDNA 4632428C04 gene","100043102"
"1104","ENSMUSG00000097102",-1.12991493920761,0.885655605269419,0.000550672639959798,"2310069G16Rik","RIKEN cDNA 2310069G16 gene","69659"
"1102","ENSMUSG00000096727",1.31027529803554,1.94614064618243,1.91268256001491e-08,"Psmb9","proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)","16912"
"1097","ENSMUSG00000093930",-1.3774698753121,7.9003824231623,3.05901703203977e-09,"Hmgcs1","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1","208715"
"1093","ENSMUSG00000091754",-1.86685119276217,0.966227597839143,3.55837547235257e-09,"Gm3636","predicted gene 3636","100041151"
"1092","ENSMUSG00000091705",1.14365446163972,2.11206116280084,0.000121831915415897,"H2-Q2","histocompatibility 2, Q region locus 2","15013"
"1086","ENSMUSG00000091119",1.57454657477434,0.592858513430702,5.05132946534574e-06,"Ccdc152","coiled-coil domain containing 152","100039139"
"1085","ENSMUSG00000090698",1.40064705103084,4.12488893203598,0.00703977291978153,"Apold1","apolipoprotein L domain containing 1","381823"
"1083","ENSMUSG00000090053",1.43947789034388,1.62768148379145,1.16243733660469e-05,"Palm2","paralemmin 2","242481"
