"","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"1075","ENSMUSG00000105504",1.40915627670724,1.93845302931411,6.55856721562235e-06,"Gbp5","guanylate binding protein 5","229898"
"1041","ENSMUSG00000095115",1.05242986976354,4.08860072035205,6.57479043092568e-11,"Itpripl2","inositol 1,4,5-triphosphate receptor interacting protein-like 2","319622"
"1036","ENSMUSG00000091971",-1.53904089479818,0.940905782184175,6.78021562645523e-06,"Hspa1a","heat shock protein 1A","193740"
"1034","ENSMUSG00000091649",2.99466119432413,0.62853022598796,3.09294706788406e-15,"Phf11b","PHD finger protein 11B","236451"
"1013","ENSMUSG00000079547",1.48817820463836,1.00360532302224,3.30768925729058e-09,"H2-DMb1","histocompatibility 2, class II, locus Mb1","14999"
"1009","ENSMUSG00000079293",5.14016120813098,3.68343808811908,2.14314374594576e-58,"Clec7a","C-type lectin domain family 7, member a","56644"
"1008","ENSMUSG00000079110",1.2349740580216,4.05944299484684,2.17815043315182e-11,"Capn3","calpain 3","12335"
"1007","ENSMUSG00000079057",1.4428510888295,3.95609266885707,4.20873524818943e-25,"Cyp4v3","cytochrome P450, family 4, subfamily v, polypeptide 3","102294"
"1002","ENSMUSG00000078945",2.2880934480511,2.0845435983278,7.93194045559822e-26,"Naip2","NLR family, apoptosis inhibitory protein 2","17948"
"1000","ENSMUSG00000078853",1.63034199159067,2.84577372123759,1.49690747999596e-10,"Igtp","interferon gamma induced GTPase","16145"
"987","ENSMUSG00000074622",1.03287590331269,4.26407857360311,1.49689172933365e-08,"Mafb","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)","16658"
"977","ENSMUSG00000073490",4.26297101520731,1.85835314632833,9.24405891586306e-29,"Ifi207","interferon activated gene 207","226691"
"976","ENSMUSG00000073489",4.11104840601166,1.24818420852582,8.87344678919079e-21,"Ifi204","interferon activated gene 204","15951"
"972","ENSMUSG00000073409",3.0836049850989,1.79723875501389,2.93283188929607e-14,"H2-Q8","histocompatibility 2, Q region locus 8","15019"
"964","ENSMUSG00000071715",1.69176988405092,1.86172372874853,5.43966558335765e-15,"Ncf4","neutrophil cytosolic factor 4","17972"
"963","ENSMUSG00000071714",2.50825949322625,1.62726612988017,3.17030668301162e-19,"Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)","12984"
"962","ENSMUSG00000071713",2.62707867357266,2.51889061470187,1.7194792507011e-42,"Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","12983"
"958","ENSMUSG00000071203",2.12452015211716,1.29933892429137,1.40787949460478e-14,"Naip5","NLR family, apoptosis inhibitory protein 5","17951"
"956","ENSMUSG00000070942",1.68592107903965,0.932061876779008,5.61603835854184e-08,"Il1rl2","interleukin 1 receptor-like 2","107527"
"952","ENSMUSG00000070427",1.44084748950477,2.18954374925789,2.11550524652211e-14,"Il18bp","interleukin 18 binding protein","16068"
"949","ENSMUSG00000070327",1.0153025411365,4.77428993027068,0.000577840298660653,"Rnf213","ring finger protein 213","672511"
"947","ENSMUSG00000069874",1.33126958119363,2.22698778241753,1.19662216304921e-07,"Irgm2","immunity-related GTPase family M member 2","54396"
"946","ENSMUSG00000069833",1.05422481448671,6.04081448678767,8.23859900589535e-09,"Ahnak","AHNAK nucleoprotein (desmoyokin)","66395"
"944","ENSMUSG00000069516",2.83361020724776,6.93177382615868,4.40626206890859e-28,"Lyz2","lysozyme 2","17105"
"935","ENSMUSG00000068245",2.64568442283761,0.734254520930312,2.62812442980215e-12,"Phf11d","PHD finger protein 11D","219132"
"925","ENSMUSG00000065037",3.34563208211791,1.62558553637234,6.7212323197638e-25,"Rn7sk","RNA, 7SK, nuclear","19817"
"917","ENSMUSG00000063234",1.8483632064719,1.11324932652351,6.31453683091036e-18,"Gpr84","G protein-coupled receptor 84","80910"
"906","ENSMUSG00000061232",2.20168688358612,6.32052063621325,9.1907622046394e-29,"H2-K1","histocompatibility 2, K1, K region","14972"
