"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"3248","ENSMUSG00000097515",-1.17707349579518,2.97568797479965,5.37628099012936e-17,"1700040D17Rik","RIKEN cDNA 1700040D17 gene","76602","GO:0003674","molecular_function"
"3219","ENSMUSG00000096847",-1.11194975727808,5.91496689813715,7.34625484074682e-20,"Tmem151b","transmembrane protein 151B","210573","GO:0003674","molecular_function"
"3175","ENSMUSG00000090877",-1.45687747214597,2.60182137071188,1.99063216730087e-07,"Hspa1b","heat shock protein 1B","15511","GO:0002199","zona pellucida receptor complex"
"3005","ENSMUSG00000074575",-1.82153654946579,2.62119709244604,1.471035038101e-32,"Kcng1","potassium voltage-gated channel, subfamily G, member 1","241794","GO:0005216","ion channel activity"
"2971","ENSMUSG00000073418",3.1409426631575,7.46888419871159,3.23261211808366e-53,"C4b","complement component 4B (Chido blood group)","12268","GO:0001848","complement binding"
"2940","ENSMUSG00000071604",1.36755258918265,4.94229349781394,6.44930476996053e-19,"Fam189a2","family with sequence similarity 189, member A2","381217","GO:0003674","molecular_function"
"2783","ENSMUSG00000061740",1.78525274471592,6.99075369800704,6.26095210052490e-12,"Cyp2d22","cytochrome P450, family 2, subfamily d, polypeptide 22","56448","GO:0004497","monooxygenase activity"
"2750","ENSMUSG00000060371",-1.06996552234535,7.54765534280326,4.65894909454483e-18,"Caln1","calneuron 1","140904","GO:0005509","calcium ion binding"
"2748","ENSMUSG00000060257",-1.06616625532473,4.16318007854234,6.24866411875193e-14,"Scrt2","scratch family zinc finger 2","545474","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2713","ENSMUSG00000058743",-2.22172372148991,3.36785868387903,3.16869328261139e-42,"Kcnj14","potassium inwardly-rectifying channel, subfamily J, member 14","211480","GO:0005242","inward rectifier potassium channel activity"
"2689","ENSMUSG00000058070",-1.65777959962694,6.89733965556583,1.17025237501552e-16,"Eml1","echinoderm microtubule associated protein like 1","68519","GO:0000226","microtubule cytoskeleton organization"
"2685","ENSMUSG00000057967",-1.16833861630217,2.38810298160531,4.58572616649411e-15,"Fgf18","fibroblast growth factor 18","14172","GO:0001503","ossification"
"2642","ENSMUSG00000056501",1.45887477690459,2.69449807578149,7.1512576851384e-13,"Cebpb","CCAAT/enhancer binding protein (C/EBP), beta","12608","GO:0000779","condensed chromosome, centromeric region"
"2586","ENSMUSG00000053931",1.28190092719811,7.88484716527458,8.22628908740669e-48,"Cnn3","calponin 3, acidic","71994","GO:0003779","actin binding"
"2573","ENSMUSG00000053279",1.3018489296795,8.4981839397165,1.01703739290561e-25,"Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1","11668","GO:0001523","retinoid metabolic process"
"2567","ENSMUSG00000053025",-1.00213119082015,6.73141751586898,5.68836082682629e-24,"Sv2b","synaptic vesicle glycoprotein 2 b","64176","GO:0005215","transporter activity"
