"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"3311","ENSMUSG00000103749",0.870931854115988,2.7758434310013,8.40062495956327e-05,"Pcdhgb5","protocadherin gamma subfamily B, 5","93702","GO:0003674","molecular_function"
"3307","ENSMUSG00000103585",0.587497846150671,2.07540364836486,0.00505883319235234,"Pcdhgb4","protocadherin gamma subfamily B, 4","93701","GO:0005515","protein binding"
"3293","ENSMUSG00000102748",0.679939828239274,2.60825901140553,5.09545099416834e-05,"Pcdhgb2","protocadherin gamma subfamily B, 2","93700","GO:0005515","protein binding"
"3268","ENSMUSG00000098557",0.633895155418688,4.34139832988099,0.00635380652362759,"Kctd12","potassium channel tetramerisation domain containing 12","239217","GO:0003723","RNA binding"
"3267","ENSMUSG00000098188",0.545850938498926,4.38191128452551,8.57274195775955e-05,"Sowahc","sosondowah ankyrin repeat domain family member C","268301","GO:0003674","molecular_function"
"3232","ENSMUSG00000097195",0.685719844434777,3.15417615292163,2.47644911134219e-06,"Snhg5","small nucleolar RNA host gene 5","72655","GO:0003674","molecular_function"
"3211","ENSMUSG00000095115",1.05242986976354,4.08860072035205,6.57479043092568e-11,"Itpripl2","inositol 1,4,5-triphosphate receptor interacting protein-like 2","319622","GO:0003674","molecular_function"
"3188","ENSMUSG00000091649",2.99466119432413,0.62853022598796,3.09294706788406e-15,"Phf11b","PHD finger protein 11B","236451","GO:0003674","molecular_function"
"3076","ENSMUSG00000079547",1.48817820463836,1.00360532302224,3.30768925729058e-09,"H2-DMb1","histocompatibility 2, class II, locus Mb1","14999","GO:0002376","immune system process"
"3066","ENSMUSG00000079110",1.2349740580216,4.05944299484684,2.17815043315182e-11,"Capn3","calpain 3","12335","GO:0003824","catalytic activity"
"3065","ENSMUSG00000079057",1.4428510888295,3.95609266885707,4.20873524818943e-25,"Cyp4v3","cytochrome P450, family 4, subfamily v, polypeptide 3","102294","GO:0004497","monooxygenase activity"
"3058","ENSMUSG00000078945",2.2880934480511,2.0845435983278,7.93194045559822e-26,"Naip2","NLR family, apoptosis inhibitory protein 2","17948","GO:0000166","nucleotide binding"
"3054","ENSMUSG00000078853",1.63034199159067,2.84577372123759,1.49690747999596e-10,"Igtp","interferon gamma induced GTPase","16145","GO:0003924","GTPase activity"
