"","logFC","logCPM","PValue","symbol","name","entrez"
"ENSMUSG00000000078",1.19611041674237,5.54314179775584,5.72740441616838e-23,"Klf6","Kruppel-like factor 6","23849"
"ENSMUSG00000000120",1.70294465432268,2.09414152954525,6.30100253880292e-10,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)","18053"
"ENSMUSG00000000125",1.06790389362692,4.18589123480873,1.31250401217819e-09,"Wnt3","wingless-type MMTV integration site family, member 3","22415"
"ENSMUSG00000000154",1.48581516070402,0.803104898508275,1.54594117416486e-13,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18","18400"
"ENSMUSG00000000263",-1.28413809983716,6.09879877385979,6.370905081724e-08,"Glra1","glycine receptor, alpha 1 subunit","14654"
"ENSMUSG00000000275",1.31402999116466,3.77750906942548,1.93427904477079e-12,"Trim25","tripartite motif-containing 25","217069"
"ENSMUSG00000000290",2.38557456094238,4.47172889450438,2.33309625795048e-62,"Itgb2","integrin beta 2","16414"
"ENSMUSG00000000386",5.36440660223917,1.51249833098803,2.7263040848739e-17,"Mx1","MX dynamin-like GTPase 1","17857"
"ENSMUSG00000000555",2.08020968838816,2.76596858054216,2.357902933949e-31,"Itga5","integrin alpha 5 (fibronectin receptor alpha)","16402"
"ENSMUSG00000000567",1.33496924483867,4.99686374042712,4.81485057783111e-16,"Sox9","SRY (sex determining region Y)-box 9","20682"
"ENSMUSG00000000628",1.45453329114685,2.68738075462431,9.45461104650068e-17,"Hk2","hexokinase 2","15277"
"ENSMUSG00000000682",2.88041704652267,2.78762802077589,2.90896722330504e-27,"Cd52","CD52 antigen","23833"
"ENSMUSG00000000686",2.64858220722208,1.32168484170985,6.30759696495618e-25,"Abhd15","abhydrolase domain containing 15","67477"
"ENSMUSG00000000732",2.0160095438631,3.80017584680832,1.93389114573423e-24,"Icosl","icos ligand","50723"
"ENSMUSG00000000766",-1.07783699106616,1.87093997022142,1.1722510328609e-05,"Oprm1","opioid receptor, mu 1","18390"
"ENSMUSG00000000791",1.66255772866284,3.43266896099723,2.46697896491916e-08,"Il12rb1","interleukin 12 receptor, beta 1","16161"
