"","mouse_tg_3_171.counts","mouse_tg_3_172.counts","mouse_tg_3_173.counts","mouse_tg_3_174.counts","mouse_tg_3_175.counts","avg","Symbol","Name"
"ENSMUSG00000000028",3.10088352440633,3.70463018793765,3.63918799503536,3.54428361210022,2.76816117795905,16.7571464974386,"Cdc45","cell division cycle 45"
"ENSMUSG00000000031",1.24035340976253,12.8191965233398,5.75499496889312,0.226834151174414,1.70348380182095,21.7448628549908,"H19","H19, imprinted maternally expressed transcript"
"ENSMUSG00000000037",0.590644480839301,0.911456633540216,0.366739875468679,0.198479882277612,0.532338688069048,2.59965956019486,"Scml2","sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000049",1.94912678676969,1.32308220997773,1.74906709838909,1.89973601608572,1.10016662200937,8.0211787332316,"Apoh","apolipoprotein H"
"ENSMUSG00000000056",38.8053423911421,35.2233886122961,28.154338132134,32.2104494667668,32.1177675134992,166.511286115838,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",58.6214647233006,51.0121696513637,48.5507173601229,44.6579735124627,28.6043321722435,231.446657419493,"Cav2","caveolin 2"
"ENSMUSG00000000078",65.4138762529526,51.482598881578,75.999786500971,68.2487252346018,62.8869436838902,324.031930553994,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",19.4912678676969,25.5501875660145,15.0927564135187,19.025714429754,23.1744775539392,102.334403830923,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",102.211027409241,135.836440224381,135.242381768988,128.274712489131,109.519812758739,611.08437465048,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",2.3625779233572,3.4988173997189,2.65181140723507,2.86378115857698,5.14594065133413,16.5229285402223,"Tbx2","T-box 2"
"ENSMUSG00000000094",0.561112256797336,0.588036537767882,0.423161394771553,0.510376840142431,0.390381704583968,2.47306873406317,"Tbx4","T-box 4"
"ENSMUSG00000000120",9.33218279726096,6.4390000885583,7.50406206728221,2.97719823416418,5.78474707701699,32.0371902642826,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",24.1573592663274,14.4656988290899,26.6591678706079,28.8362914680474,28.6043321722435,122.722849606316,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",2.24444902718934,2.9695845157278,1.8336993773434,1.81467320939531,2.12935475227619,10.991760881932,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",11.3994384801985,14.2304842139827,9.2531291656713,8.59134347573093,10.788730744866,54.2631260804495,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",87.6811731805942,69.8293388599359,71.5424864760439,92.9452934437161,104.373872107405,426.372164067695,"Xpo6","exportin 6"
"ENSMUSG00000000134",45.9816728333396,41.5153795664124,48.3250312829114,42.2195063873378,43.403347700563,221.444937770564,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",13.0532430265486,12.6427855620095,7.50406206728221,9.89563984498381,12.2792790714594,55.3750095722834,"Axin2","axin 2"
"ENSMUSG00000000148",17.1877543924237,21.1987171865321,12.9205279203581,18.0049607494691,20.0159346713962,89.3278949201792,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",195.444258709725,283.433611204119,174.624602242394,204.717821434909,166.267116906899,1024.48741049805,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",2.03772345889559,2.79317355439744,2.53896836862932,2.35340431843454,2.5907149486027,12.3139846489596,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000159",0.413451136587511,0.64684019154467,0.592425952680175,0.623793915729638,0.922720392653016,3.19923158919501,"Igsf5","immunoglobulin superfamily, member 5"
"ENSMUSG00000000167",2.09678790697952,2.08752970907598,2.51075760897788,2.18327870505373,1.95190852291984,10.830262453007,"Pih1d2","PIH1 domain containing 2"
"ENSMUSG00000000168",101.531786256276,89.2051427793876,108.780689215941,90.4217635119008,100.257119586337,490.196501349842,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",99.0510794367508,119.930051877759,109.062796812455,117.64186165283,102.138049617515,547.82383939731,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",40.7544691779118,41.4271740857473,22.4839754421952,21.8894955883309,20.1578916548813,146.713005949066,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",64.2916517393579,67.6242018433064,61.1891376839666,60.8766153214333,65.6905941077205,319.672200695785,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",75.6024935474305,79.5025399062176,61.5840883190867,69.0993533015058,88.1907759901056,373.979251064346,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000202",11.1927129119048,19.9344386303312,13.5411646326897,9.55538861822219,8.02056956690699,62.2442743600548,"Btbd17","BTB (POZ) domain containing 17"
"ENSMUSG00000000214",2.86462573207061,3.35180826527692,1.97475317560058,1.98479882277612,2.37777947337508,12.5537654690993,"Th","tyrosine hydroxylase"
"ENSMUSG00000000223",81.0659549951941,49.1304527305065,64.9975902369106,63.7403964800103,68.5652230232934,327.499617465915,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000244",0.797370049133056,1.35248403686613,0.564215193028738,1.24758783145928,0.780763409167937,4.74242051965514,"Tspan32","tetraspanin 32"
"ENSMUSG00000000247",0.17719334425179,0.735045672209852,0.169264557908621,0.141771344484009,0.922720392653016,2.14599531150729,"Lhx2","LIM homeobox protein 2"
"ENSMUSG00000000253",55.3729200786845,61.8908456000695,90.9232783565811,65.4700068827152,71.1204487260248,344.777499644075,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",39.8094380085689,46.3960828298859,21.3837558157892,24.0444200244879,67.8199488599967,199.453645538728,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266",38.9234712873099,30.8719182328138,33.3733286676498,32.18209519787,36.9088157061207,172.259629091764,"Mid2","midline 2"
"ENSMUSG00000000275",23.8029725778238,15.8475846928444,15.8262361644561,15.5097850865506,26.3330204364822,97.3195989581571,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",57.1743857452443,52.599868303337,55.5187749940278,50.7541413252751,62.7449867004051,278.792157068289,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",24.6594070750408,23.2274432418313,24.6562039353558,22.0596212017118,23.6003485043945,118.203023958334,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",28.5576606485802,28.1081465053047,29.1699254795857,29.1198341570154,38.5413210161991,153.496887806685,"Mnt","max binding protein"
"ENSMUSG00000000290",35.9407166590715,44.0733385057027,31.4832077710036,39.1005368086896,34.8149501997157,185.412749944183,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",19.0778167311094,17.7881052674784,25.700002042459,26.029218847264,19.7675099502973,108.362652838608,"Hddc2","HD domain containing 2"
"ENSMUSG00000000296",19.1664134032353,17.1412650759337,22.8789260773153,24.4697340579399,17.7446229356349,101.400961550059,"Tpd52l1","tumor protein D52-like 1"
"ENSMUSG00000000301",2.4511745954831,3.35180826527692,3.46992343712674,3.65770068768742,2.83913966970159,15.7697466552758,"Pemt","phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303",1.8605301146438,9.08516450851377,1.32590570361753,0.17012561338081,5.64279009353191,18.0845160336878,"Cdh1","cadherin 1"
